职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
储备主管,南京,中国太平洋人寿保险股份有限公司南京市江宁支公司,本科,10年以上,"销售方向,市场营销方向,运营方向,新媒体运营,电商运营,社区运营,大学英语六级",5-10万,太保家傳 家族办公室是中国太保寿险为高净值客户打造的财富管理与传承的服务平台，专注于家庭、企业、个人及生命四大板块的需求，提供覆盖创富、守富、享富、传富全生命周期的综合服务。以下是其主要服务项目： 1.专属服务团队 1+1+N服务模式，每位客户配备1位家办事务官、1位家办专员，并整合N位内部专家及N个家办联盟生态圈资源，提供个性化服务。 2.财富管理与传承 家族信托与税务规划，帮助客户优化资产配置...,保险,http://jobs.zhaopin.com/CC537721020J40721191809.htm,100-299人,2025-10-31 20:11:34
直播运营总监 (MJ000426),南京,江苏天马网络科技集团有限公司,本科,5-10年,"抖音,电商类",4-7万,工作职责：1、了解直播行业发展趋势，根据当前形势及公司战略，制定整体发展规划与策略；2、负责部门搭建、提升直播带货效果及转化率，以达成销售和盈利目标；3、统筹部门整体直播内容的规划，渠道，并确保相关内容的合规性；4、建立主播挖掘，孵化，市场化的体系机制，持续培养主播，打造行业MCN；5、建立完善数据追踪体系，通过梳理、分析直播数据，提供大量线索，帮助线上展业；6、搭建资源库，引入优质供应商，并分配...,互联网,http://jobs.zhaopin.com/CC328794520J40824109810.htm,1000-9999人,2026-01-08 16:59:18
内容电商负责人,南京,福建东方食品集团有限公司,大专,3-5年,"抖音,快手",2.5-4万,岗位职责：1、根据公司对于抖音品牌店铺电播业务的整体销售，战略、产品布局规划及营销方案，做好具体的销售、费用、活动、库存规划和营运管理，确保本店铺的电播销售目标达成:2、对标研究竞品的动态，分析竞品数据变化根据分析结果调整直播间;3、策划高转化短视频内容，用于引流及粉丝沉淀，提升自然流量占比;4、跟投放端共同制定投放推广计划，不断优化，提高、稳定roi，保持利润产出:5、建立完整的主播培训流程，复...,快速消费品,http://jobs.zhaopin.com/CC120821160J40814958105.htm,100-299人,2025-09-23 17:26:21
新媒体运营总监,南京,全益(上海)人力资源有限公司,本科,1-3年,,3-3.5万,岗位职责1.运营体系搭建：负责搭建并优化公司新媒体广告投放运营体系，涵盖小红书、知乎、B 站、微博等平台的投放策略制定、账户管理、数据监测与效果优化，建立标准化的运营流程与服务规范。2.投放效果管控：统筹客户广告投放项目的全生命周期管理，对接客户需求并制定个性化投放方案，实时监控投放数据，根据数据反馈及时调整投放策略，确保投放效果达到客户预期，提升客户留存率。3.销售协同赋能：具备销售思维，主动参...,人力资源服务,http://jobs.zhaopin.com/CCL1317795840J40867295703.htm,500-999人,2026-01-04 09:36:43
内容运营专家 (MJ000269),南京,江苏天马网络科技集团有限公司,本科,3-5年,"文本类,视频类,小红书,微信公众号,抖音",2-4万,岗位职责1、负责集团内容部门的统筹运营管理，制定内容团队发展策略，在各主流社交媒体平台建立矩阵号，包括官方账号运营、自由账号孵化等；2、带领团队运营各个社交媒体账号，在各平台打造爆款内容，提升账号能级，帮助团队在运动、户外品类实现优秀的宣发能力；3、基于品牌定位及用户需求，制定总体用户增长策略，对付费投放效果、曝光量以及拉新数负责；4、负责品牌推广的年度预算制定与执行，确保预算的合理分配和有效利用...,互联网,http://jobs.zhaopin.com/CC328794520J40769923810.htm,1000-9999人,2026-01-08 16:59:19
短视频运营,南京,南京嘉可文化传媒有限公司,学历不限,1-3年,"抖音,快手,小红书",1.5-3万,岗位内容：1. 策划和制定短视频运营的整体方案，包括选题、拍摄、剪辑等。2. 负责短视频平台的日常运营，管理用户关系和社群运营。3. 数据分析和监测，根据数据进行调整和优化。任职要求：1. 有2年以上互联网短视频运营经验，熟悉短视频平台规则和运作规律。2. 具备良好的沟通能力和团队协作精神，能够承受工作压力。3. 熟练使用各类短视频制作软件或工具，具备基本的摄影及剪辑技巧。,广告/营销,http://jobs.zhaopin.com/CC628533580J40836869505.htm,20人以下,2026-01-05 18:35:19
医院新媒体运营经理,南京,潍坊银康医院,本科,3-5年,,1.5-3万,岗位内容：1. 负责医院所有新媒体账号的管理和更新，包括但不限于微信公众号、微博等；2. 根据公司整体营销方向，制定并执行线上营销策略，提升品牌知名度和销售转化率；3. 维护客户关系，并负责新媒体平台的数据分析和报告撰写；4. 不断跟进行业和社交媒体趋势，为新媒体运营提供第一手资讯和创意点子。任职要求：1. 本科及以上学历，市场营销、新闻传媒或相关专业优先考虑；近几年有医院运营经验；2. 熟悉运用...,医院,http://jobs.zhaopin.com/CCL1219780230J40976679604.htm,20人以下,2025-12-27 09:33:37
直播运营主管,南京,江苏天马网络科技集团有限公司,大专,3-5年,"抖音,电商类",1.5-3万·13薪,职位概述负责直播业务的整体运营管理，通过策略制定、团队统筹和数据分析，提升直播业务的流量、转化与用户体验，达成业务增长目标。核心职责1、制定直播运营策略与月度计划，管理直播排期与主题策划；2、统筹直播全流程运营，包括前期策划、现场管控与后期复盘；3、负责直播团队（主播、场控、助理等）的日常管理与能力培训；4、监控直播数据，分析效果并提出优化策略，提升GMV、互动率等关键指标；5、协同商品、市场、设...,互联网,http://jobs.zhaopin.com/CC328794520J40827712110.htm,1000-9999人,2026-01-08 16:59:19
资深小红书运营,南京,新视云,大专,经验不限,"视频类,文本类,直播类,小红书,抖音,微信公众号",1.8-3万,【岗位职责】1、负责小红书平台内容生产及运营工作，制定推广计划并实施执行；2、了解小红书运营模式、流程及规则，熟悉平台的运营操作规范，掌握各种营销工具的应用方法；3、结合数据分析结果，对运营效果进行评估，并提出相应改进措施；4、分析行业竞品动态，挖掘潜在机会点并进行相关策略的提出和落实。【职业要求】1、本科以上学历，有运营法律知识付费产品优先；2、2年以上工作经验，熟悉小红书平台各项运营规则和玩法...,互联网,http://jobs.zhaopin.com/CC440596310J40972662304.htm,100-299人,2025-12-09 16:47:21
新媒体运营总监,南京,南京爱尖子教育咨询有限公司,本科,3-5年,"新媒体运营,用户运营,社群运营,toC",1.5-3万,"【岗位职责】1.负责公司的总体运营，制定各阶段的招生计划，并落地实施；2.带领团队进行客户社群开发、运营、转化等，完成各阶段招生目标；3.根据教学产品的特点，制定学科推广方案，并落地招生；4.切合市场变化,策划热门爆款产品选题；【任职要求】1.教培行业3年以上学科运营经验，了解初高中学科内容；2.具备一定的团队管理能力；3.有较强的社群运营与转化经验；【福利待遇】1.入职缴纳五险一金；2.广阔的职...",培训/辅导服务,http://jobs.zhaopin.com/CCL1492487890J40815621307.htm,20-99人,2025-12-09 11:08:51
