职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
AI芯片首席运营官,重庆,重庆博金斯科技有限公司,硕士,3-5年,首席运营官,50000-100000,1、协助CEO制定公司发展战略规划与计划等，并负责组织实施、监控，推动战略经营目标实现；2、负责为重大决策事项提供数据支持和专项研究报告，负责定期为公司提出企业经营状况分析和前景预测报告；3、依据已确定的战略规划，搭建运营体系、品牌市场推广体系、产品体系等，制定市场总体工作计划，提出市场推广、品牌、公关、活动等方面的具体方向和实施方案；分解阶段产品计划、运营计划、市场计划及客户跟进计划、客户满意度...,人工智能,http://jobs.zhaopin.com/CCL1500659430J40850575703.htm,20-99人,2025-10-27 13:46:33,50000.0,100000.0,12.0
集团职能总部-流程管理专家（IPD）(J17276),重庆,赛力斯集团股份有限公司,本科,10年以上,IPD,30000-60000,岗位职责:1、主导IPD流程（涵盖产品规划、研发、市场、外包、操盘等）的规划、设计、建设、试点及持续优化；2、策划并主导IPD变革项目，制定实施方案，协调跨部门资源确保落地，设计流程监控机制（如绩效评估、数据分析），确保流程执行质量；3、拉通IPD与其他业务域（如LTC、供应链）的接口，确保端到端流程高效协同；4、开发IPD培训课程，对业务部门进行流程方法论、工具赋能，提升组织流程意识；制定变革宣...,汽车研发/制造,http://jobs.zhaopin.com/CC465219810J40865619203.htm,10000人以上,2025-12-23 16:59:25,30000.0,60000.0,16.0
经营管理部部长（整车行业）,重庆,重庆臻果优业商业管理有限公司,本科,5-10年,,30000-45000,运营部长岗位职责：1、协助制定公司的年度经营计划，并推动实施；2、负责组织和协调各部门进行月度经营分析，确保公司运营目标的达成；3、参与重要事项的决策，协助领导处理日常管理事务；4、负责跨部门项目的管理和协调，确保项目按时高质量完成；5、定期向总经理汇报工作进展，提出改进建议。岗位要求：1、本科及以上学历，管理类相关专业优先；2、具有5年以上汽车企业管理或相关工作经验；3、具备较强的组织协调能力和...,人力资源服务,http://jobs.zhaopin.com/CC839541400J40811773905.htm,20-99人,2025-09-11 16:06:23,30000.0,45000.0,12.0
省区终端运营负责人,重庆,京东集团,本科,5-10年,"物流管理,快递服务,运营管理,团队管理,物流网点,物流体验,快运服务",20000-40000,工作地点：此岗位工作地点可按照公司需要与个人意向在【西南，西北十省区】内进行调配。 岗位职责：1.负责省区快递快运的终端运营管理，搭建和完善营运体系，优化揽派流程，提升揽派时效，减少丢损异常，改善客户体验，做好客户保障；2.负责省区终端路区建设与规划，完善网点布局及建设，科学配置站点人员、工具、设备等各项资源，优化人效，提升产出； 3.负责省区成本管控，统筹省区场地、工装、器具、车辆、耗材，各类补...,互联网,http://jobs.zhaopin.com/CC192921310J40782683509.htm,10000人以上,2026-01-12 00:30:03,20000.0,40000.0,16.0
医药信息沟通专员,重庆,上海医沐生物科技有限公司,大专,3-5年,"生物药,化学药,特药,处方药,抗体,基因检测试剂,体外诊断试剂,全科,外科,肿瘤科,医院",20000-40000,针对肿瘤患者的基因检测，指导靶向药，免疫药物的选择；兼职的小伙伴，有医院资源，强烈意愿的都可以做，合法合规的LDT模式，院外送检，按照单结算。地址各拥有肿瘤科室的医院基因检测医药代表《上海中优医学检验所》： 2006年，由我国遗传学泰斗，谈家桢院士发起成立，中国优生优育协会批复成立的下属分子遗传学检测实验室。2014年，《上海中优医学检验所》受《上海肿瘤技术研究所》委托，承接上海肿瘤特殊项目检测中...,医药制造,http://jobs.zhaopin.com/CC848306340J40763385802.htm,20-99人,2026-01-11 01:02:25,20000.0,40000.0,12.0
商贸运营总监岗位,重庆,重庆万联易达供应链有限公司,本科,5-10年,,20000-40000,【岗位职责】1.统筹区域大宗商品 / 工业品商贸全流程运营，搭建标准化运营体系，保障交易合规与履约效率；2.管控商贸业务风险，优化合同、订单流程，推动物流、数金等跨部门协同；3.带领运营团队达成 GMV、合规率等核心 KPI，指导二级子公司商贸运营业务落地。【任职要求】1.本科及以上学历，市场营销、国际贸易、供应链管理等相关专业；2.至少5 年以上商贸运营领域经验，3 年 + 区域级商贸运营团队管...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1502834110J40884349102.htm,100-299人,2025-12-19 08:55:06,20000.0,40000.0,12.0
渠道运营高级经理/渠道运营经理,重庆,武汉搜马人力资源服务有限公司,本科,5-10年,"销售运营,汽车行业渠道运营管理",25000-40000,职位描述1、负责建立零标运营体系的搭建与管理。2、负责对门店的分层分级管理与运用，建立低效店、无效店预警运营机制。3、负责人员配置、车辆配置、店面硬件的运营管理，协同管理SOP流程4、网络汰换机制等渠道运营体系搭建5、负责商务政策的整体结算，门店0容忍管理、经销商满意度管理等职位要求本科及以上学历，市场营销、汽车工程、工商管理等相关专业优先；5年以上汽车行业渠道运营管理岗经验；有主机厂总部渠道运营...,汽车研发/制造,http://jobs.zhaopin.com/CC668399420J40907527815.htm,1000-9999人,2025-12-02 14:17:11,25000.0,40000.0,12.0
算力运营副总,重庆,浙江中天数算科技有限公司,本科,5-10年,算力,20000-40000,岗位职责 1.行业精研与战略规划：深度分析AI算力市场需求和竞争格局，制定并执行公司的算力运营中长期发展战略与年度业务目标。 2.主导设计并优化算力服务的商业模式、解决方案体系及定价策略，提升市场竞争力与盈利能力。 3.算力消纳与资源调度：建立高效的算力资源预测、调度与消纳机制，确保算力资源的高利用率，有效平衡供需关系，降低空置成本。 4.开拓并维护关键客户及生态合作伙伴（如大型AI公司、科研机构...,云计算/大数据,http://jobs.zhaopin.com/CCL1500426490J40813308410.htm,20-99人,2025-11-27 00:00:05,20000.0,40000.0,12.0
直播运营负责人,重庆,重庆乐速文化传媒有限公司,大专,1-3年,"抖音,电商类,美妆类",20000-40000,1、直播间运营管理：负责现有抖音直播间的日常运营，制定直播排期、主题性直播活动方案，确保直播高效执行；监控直播数据（实时在线、停留时长、转化率、GMV等），针对性优化直播策略，提升直播间流量和销售额；协调团队资源（主播、场控、投流等），解决直播中的突发问题，保障直播效果稳定。2、主播培训与话术优化：设计标准化直播话术模板（开场、互动、逼单、转化话术等），定期迭代优化；对主播进行一对一培训，提升镜头...,新媒体,http://jobs.zhaopin.com/CCL1455287360J40811710407.htm,300-499人,2025-11-24 18:25:23,20000.0,40000.0,12.0
烤肉/烤鱼品类运营总监,重庆,重庆尹真珠品牌管理有限公司,大专,5-10年,"门店运营,新店筹备,烤肉,烤鱼",30000-40000,岗位职责：1、筹备体系搭建：建立并持续优化从 “物资进场”到“开业后第七天” 的全周期新店筹备SOP，涵盖物资验收、人员组建与培训、开业营销落地等。2、开业项目管理：全面管理所有新店的开业筹备进度、质量与成本，确保新店按既定时间表和标准开业。3、跨部门协同落地：作为枢纽，主动协调供应链部（确保物资准时准确到店）、营销部（确保开业活动顺利执行）、人力资源部（确保人员及时到岗）、品牌部（确保形象标准）...,餐饮服务,http://jobs.zhaopin.com/CCL1508729080J40802109509.htm,1000-9999人,2025-10-25 12:01:24,30000.0,40000.0,12.0
