职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
平台运营总监,郑州,环球食械(深圳)网络技术有限公司,大专,5-10年,"电商平台,媒体平台,策略运营,流量运营,销售运营",3-6万,岗位职责：一、战略规划与目标制定1、行业与市场洞察：（1）深度研究全球食品机械B2B跨境电商趋势（如欧美、东南亚、中东等目标市场需求差异、政策合规要求、供应链特点），结合公司产能与产品优势（如食品加工机械、包装设备、冷链设备等），制定3-5年海外市场拓展战略（含区域市场优先级、品类聚焦策略、本地化运营方案）。（2）每半年牵头召开海外战略复盘会，分析宏观经济（如汇率波动、贸易壁垒）、行业竞争（如德国...,互联网,http://jobs.zhaopin.com/CCL1503012660J40953595204.htm,100-299人,2025-09-23 00:00:01
【智能图书】新媒体运营负责人,郑州,作业帮,本科,3-5年,"短视频平台,快手,抖音,教育类,母婴类,短视频运营,直播运营,电商运营",4-6万,异地招聘：江西省南昌市青山湖区 【岗位职责】直播体系搭建策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；优化直播流量获取与转化路径，提升GMV及用户留存率。 短视频内容战略 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量； 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。 达人团队管理 负责达人招募、签约、孵化及KPI考核，建立分层管理机制； 整合达人资源与品牌...,互联网,http://jobs.zhaopin.com/CC287198080J40784192814.htm,10000人以上,2025-09-10 00:09:42
京东运营负责人（小家电产品/3亿体量+）,郑州,河南聚量信息技术有限公司,本科,3-5年,"京东,经理,总监,家电3C经验,团队管理,品牌运营",3-5万,一、主要职责：1. 负责品牌事业部：美的、创维、海尔、苏泊尔（其一）；业绩达成：基于市场分析，制定品牌整体业务目标，完成选品、定价及销售目标拆解与达成（含CID）； 2. 渠道业绩达成：制定并拆解分渠道（如京东、天猫、拼多多等）业绩目标并达成，确保渠道协同增长； 3. 平台对接：对接平台核心资源，争取活动位、流量扶持等关键支持； 4. 策略制定：制定站内营销策略、促销方案及销售节奏；5. 机制建设...,电子商务,http://jobs.zhaopin.com/CCL1289012670J40979067504.htm,1000-9999人,2026-01-09 19:45:32
运营产品BP,郑州,河南华鼎冷链仓配科技有限公司,本科,5-10年,,3-5万,工作内容：1、结合行业趋势，挖掘运营及业务痛点，通过和信息部门的高效协作，明确信息化产品的规划方向，提高运营的整体运作效率；2、产品管理：站在公司战略角度，结合行业趋势，根据公司实际运营情况协同运营及技术部门，制定出短期、长期业务产品规划，解决运营过程中的痛点和难点；3、业务支持：参与运营部门的日常管理活动，深入了解运营现状，通过信息化产品赋能业务，为业务部门提供持续稳定的产品支撑；4、沟通协作：...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1478830950J40772038614.htm,500-999人,2026-01-04 16:12:07
新媒体营销负责人—（智能图书、管幅30+）,郑州,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585714.htm,10000人以上,2025-09-10 00:02:43
亚马逊vc运营经理,郑州,郑州迪云网络科技有限公司,本科,5-10年,"toB,toC,电商运营,亚马逊,VC",3-5万·14薪,岗位职责：1、制定亚马逊及多平台营销、推广方案，包含美国vc及欧洲sc等，指导团队成员的运营工作，带领团队完成销售目标，并保证账号的安全健康；2、规范现有运营体系，优化运营流程、分工，优化工作和协作效率；3、跟踪评估运营效果，分析销售数据和库存数据，结合市调和历史数据预估未来销量，制定销售策略和备货计划（FBA和海外仓），保持健康的库存周转；4、深入研究平台政策及功能，了解行业最新信息及先进的运营...,电子商务,http://jobs.zhaopin.com/CC849379720J40865776503.htm,100-299人,2025-12-24 12:27:00
超市运营总监,郑州,河南甄星鲜商业运营管理有限公司,本科,3-5年,"产品运营,门店运营,商业化产品",2-4万,"1、组织实施超市年度经营规划,确保年度销售经营目标顺当完成;2、实时关注门店经营状况,动态调整经营策略、措施,提高经营绩3、制订门店的促销规划与方案;4、跟踪监视门店经营绩效指标及治理目标完成进度;5、负责门店经营治理的督导、检查，人员调度、协调等治理工作;6、主持超市各门店经营治理会议;7、负责门店治理团队建立,参加和审核下属门店重要岗位人员调配及考核;8、负责门店费用审核及本钱掌握,提升盈利力...",新零售,http://jobs.zhaopin.com/CCL1500388950J40972001904.htm,100-299人,2025-12-07 10:30:49
产品经理,郑州,六夫丁作物保护有限公司,博士,3-5年,"农药,杀虫剂,植物保护",2-4万,职位描述一、岗位职责：1、进行产品市场规划跟进，跟踪产品生产计划；2、负责作物试验区的药效实验，采集数据形成农作物病虫害防治实验报告；3、根据实验报告，拟定公司内部专业用药及相关知识培训计划并实施；4、为老产品的配方改良和新产品的药效测试提供各种实验数据支持；5、对产品品牌进行扶持推广，协助业务员进行农民会、订货会等的策划与召开。二、任职资格：1、博士研究生学历及以上，农学、植物保护等相关专业；2...,农/林/牧/渔,http://jobs.zhaopin.com/CC461412320J40935357504.htm,500-999人,2025-11-11 14:48:55
抖音运营（20K-40K）,郑州,河南冬时数码科技有限公司,大专,3-5年,"短视频平台,抖音,教育类",2-4万,团队和谐，零内耗，能力强与收入成绝对正比，不拖欠工资！公司销售青少年期刊杂志，青少年教育产品，选品皆为类目中的爆品，自带流量，覆盖主流销售平台天猫、抖音、京东等，期待您的加入！【职位优势介绍】1、运营薪资20-40K（本范围为旺季实际数据统计），年龄20-30岁，特别优秀者不限经验；2、旺季时间长，9月份期刊杂志旺季开始，直至次年的5月；3、期刊杂志客单高，人群消费能力强；4、类目符合国家教育政策...,电子商务,http://jobs.zhaopin.com/CCL1487572260J40962714004.htm,20-99人,2025-10-30 14:12:30
temu运营组长/主管无责任底薪10000-15000+提成,郑州,郑州高汇文化传媒有限公司,大专,3-5年,,2-4万,岗位职责1、负责temu团队的业务建设、管理及运营工作；2、承接公司业绩目标并落地实现公司业绩目标；3、熟悉平台规则并规避风险，避免罚款；4、跨部门合作，提供开品需求及备货需求等。任职要求1、大专以上学历，有3年以上temu运营经验及6个月以上团队管理经验；2、具有一定的选品能力，电动工具类目优先；3、具有较强的数据分析和逻辑能力；4、认真负责、有良好的执行力、责任心。 福利待遇： 1、发展晋升：...,电子商务,http://jobs.zhaopin.com/CCL1470734070J40800638014.htm,100-299人,2025-10-13 00:11:42
