职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
市场开发专员,郑州,河南绿友环境科技有限公司,中专/中技,经验不限,市场营销,8-16万,（一）岗位描述：1、负责潜在客户信息收集、开发；现有公司客户维护；2、完成客户洽谈、合同签订、应收账款的催收；3、配合公司品牌及市场推广，维护客情关系；4、维护公司品牌形象。（二）任职要求：高中及以上学历，会开车，经验不限，男女不限；市场营销专业优先，退伍军人优先，有空调销售或者医疗器械销售经验优先，有长期与公司共同发展愿景。（三）薪资待遇：薪酬：年综合收入10-30万，无责底薪3500元/月--...,工程施工,http://jobs.zhaopin.com/CC430444930J40283605912.htm,100-299人,2025-03-10 19:12:01
外贸运营经理,郑州,河南雅福贸易有限公司,学历不限,1-3年,"英语,阿里巴巴国际站,阿里国际站",6-12万,要求:对行业，对平台，具有敏锐的分析，总结能力。企业管理，统计学专业优先。岗位职责1.负责阿里巴巴国际站店铺产品运营规划，站内SEO优化，维护以及数据分析等工作。2.熟悉跨境电商平台流程及规则，负责店铺推广优化，提高店铺点3.通过挖掘运营数据和用户反馈，不断分析用户行为和需求，参与并推进网站产品及流程的改进和击率、浏览量和转化率；优化；4、监控数据并进行数据分析，指导网络营销方案策划，能够在第一时...,贸易/进出口,http://jobs.zhaopin.com/CC393794186J00130748010.htm,20-99人,2025-11-20 14:17:28
全国运营总负责人,郑州,河南广顺兴餐饮管理有限公司,本科,10年以上,"门店运营,toC",5-10万,工作职责：1、体系构建与优化：负责全面规划与实施门店运营体系，包括新店选址策略的制定与执行，确保新店选址符合品牌发展战略及市场需求；同时，对已开门店的运营体系进行持续优化，保障门店运营的高效与有序；2、数据驱动决策：依据市场数据，制定并监控关键运营指标，通过深入的数据分析洞察市场趋势与消费者偏好，为公司战略决策提供数据支持与洞见；3、运营赋能与管理：建立并持续优化门店运营标准与流程，确保各门店运营...,餐饮服务,http://jobs.zhaopin.com/CCL1200545800J40732854801.htm,300-499人,2025-11-07 09:16:49
电商运营总监,郑州,河南启瑞健康科技有限公司,大专,5-10年,"淘宝/天猫,京东,拼多多",4-8万,硬性要求：有老年卫品类目运营经验！！！工作地点：郑州市二七区或杭州市滨江区一、岗位职责1、 战略规划与执行：根据公司发展战略，制定电商业务的长期规划与年度计划，包括销售目标、市场拓展、品牌建设等方面，并确保计划的有效执行与落地。2、平台运营管理：全面负责公司电商平台（如天猫、京东、抖音、拼多多、1688、小红书等）的日常运营工作，监控平台数据，分析运营效果，及时调整运营策略，提升店铺的流量、转化率...,互联网,http://jobs.zhaopin.com/CCL1503820170J40840265912.htm,100-299人,2025-10-17 13:47:06
运营总监,郑州,定成(郑州)商贸有限公司,本科,5-10年,"销售运营,门店运营,数据运营,toC,toB",4.5-7.5万,岗位职责1、根据公司总体经营战略规划，组织推进公司重大运营方案，及时进行市场跟踪和策略调整；2、负责全盘统筹营运部直营、加盟体系的标准化管理；3、制定公司年度、月度经营计划，领导部门完成公司各项指标；4、建设和发展优秀的运营队伍，搭建内部人才梯队，赋能员工绩效产出；5、整体负责品牌运营管理，包括店务、服务规范、营业培训等管理工作；6、完善各门店的组织架构、工作流程、重要规章制度，参与建立规范高效的...,零售/批发,http://jobs.zhaopin.com/CCL1391083050J40791920211.htm,1000-9999人,2025-12-03 15:28:51
临境春秋运营总监,郑州,河南挥动智能科技有限公司,本科,5-10年,,3.5-7万,一、公司简介：河南挥动智能科技有限公司成立于2023年5月15日，致力于用临境科技和竞商模式为想经商的人们提供低成本、低风险和高效率的机会。发展竞商，服务竞商，是挥动智能的主营业务。挥动智能第一阶段的主要目标：在中国发展3000个育商，共同为330万竞商打造一个临境智能化服务平台。挥动智能的核心竞争力：临境科技+竞商模式！挥动智能的服务宗旨：为您所想，给您所需！挥动智能的愿景：让每个想经商的人都能...,企业服务,http://jobs.zhaopin.com/CCL1506470090J40745834906.htm,300-499人,2026-01-06 18:34:28
省区招商运营总经理+年薪（30w-100w）可谈,郑州,河南彭世健康管理集团有限公司,本科,1-3年,"华东大区,招商加盟",3-6万,岗位职责：1. 目标拆解：承接总部招商、运营指标，按省会/地级市/县域经济水平、制定相对应的落地政策，明确各城市经理目标与考核标准，联动数据追踪进度。2. 人员培训：搭建带教体系，定期开展谈判技巧、门店运营、人员管理等培训，挖掘潜力员工做人才储备。3. 加盟商赋能：打造样板市场，建省区运营数据支持中心，按加盟商情况分层帮扶。4. 成本管控：优化招商渠道投入，向高转化渠道、高转化市场倾斜，不降质的情...,美发/美容/保健,http://jobs.zhaopin.com/CCL1225418880J40828111010.htm,10000人以上,2025-12-16 13:55:51
家装/装修公司运营总监,郑州,河南东方华然装饰设计有限公司,学历不限,5-10年,门店运营,3-6万,"1、熟悉家装物料与设计，报价等，全面主持整个门店的日常管理工作带领属下员工，保质保量地完成公司下达的各项工作任务和指标。2、根据公司长远发展整体规划，重新制定店的经营计划,管理目标。3、有独立签单现场指挥能力。4、不断完善店内各工作岗位不断创新的工作程序及规章制度，监督检查员工的执行情况，做好对各级员工的考核,负责属下员工的考核评价、培训、奖罚，科学安排人力资源,不断提高人员素质及岗位技能,充分调...",装饰装修,http://jobs.zhaopin.com/CCL1307614470J40748158414.htm,20-99人,2025-11-20 14:59:59
品牌运营总监,郑州,河南波拉克进出口有限公司,本科,3-5年,"品牌营销,品牌策划,品牌设计,品牌推广,个人品牌",3-6万·13薪,只招聘在茶企业或茶行业多年工作经验者！！！1. 开发和执行公司运营策略，确保实现商业目标2. 负责品牌的整体规划和市场推广，提高品牌知名度和渠道覆盖率3. 管理和支持团队成员，提升工作效率和质量4. 监督运营数据分析，及时调整和优化运营方案5. 维护与合作伙伴和客户的关系，促进业务拓展任职要求：1. 本科以上学历，7年以上互联网或茶行业运营管理经验2. 具有深厚的战略规划和市场推广经验，熟悉多种用...,贸易/进出口,http://jobs.zhaopin.com/CC494937620J40804712109.htm,20人以下,2025-11-10 09:04:00
平台运营总监,郑州,环球食械(深圳)网络技术有限公司,大专,5-10年,"电商平台,媒体平台,策略运营,流量运营,销售运营",3-6万,岗位职责：一、战略规划与目标制定1、行业与市场洞察：（1）深度研究全球食品机械B2B跨境电商趋势（如欧美、东南亚、中东等目标市场需求差异、政策合规要求、供应链特点），结合公司产能与产品优势（如食品加工机械、包装设备、冷链设备等），制定3-5年海外市场拓展战略（含区域市场优先级、品类聚焦策略、本地化运营方案）。（2）每半年牵头召开海外战略复盘会，分析宏观经济（如汇率波动、贸易壁垒）、行业竞争（如德国...,互联网,http://jobs.zhaopin.com/CCL1503012660J40953595204.htm,100-299人,2025-09-23 00:00:01
