职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
原油处理工艺总监,成都,天津缘众达管道工程有限公司,大专,10年以上,"炼化工艺,储运工艺",45000-55000,要求：45岁以下，大专或以上学历，英语流利，10年以上油气处理相关行业经验。职责：1、负责审核试运阶段的工艺流程文件，根据装置特性调整工艺参数和操作规范，确保技术方案符合行业标准。2、分析潜在工艺风险，制定应急预案，监控试运过程中设备运行状态，及时解决技术异常问题。3、通过数据采集和流程分析，优化装置运行效率，提升试运阶段的工艺稳定性和经济性。4、编制试运阶段的工艺操作手册、维护规程等技术文档，建...,石油/石化,http://jobs.zhaopin.com/CCL1439424390J40699763116.htm,20人以下,2025-12-16 16:21:36,45000.0,55000.0,12.0
放化工艺总监/副总监 Radiochemistry Process Director/ Associate Direct,成都,国通(成都)新药技术有限公司,本科,5-10年,"放射性药品,处方工艺研究,工艺验证",30000-50000,Job Responsibilities工作职责：1.负责药品研发的放化标记、处方工艺研究、工艺验证及相关注册资料的审核工作；2.制定项目计划，合理安排下属人员开展工作，给予业务指导，确保项目进度与质量；3.负责组织下属接受注册研制现场核查，协助注册生产现场核查工作，回复药品注册过程中审评机构提出的与工艺相关的补充意见；4.负责团队建设、部门管理工作，梯队人员培养，重点进行技术人员的培训与提升。R...,医药制造,http://jobs.zhaopin.com/CCL1470705780J40648702201.htm,100-299人,2025-12-16 15:36:40,30000.0,50000.0,13.0
工艺研发高级工程师(博士）,成都,成都海威华芯科技有限公司,博士,经验不限,,25000-50000,岗位职责：1. 负责GaN制程工艺的开发。2. 负责领导团队解决GaN 工艺开发过程中的工艺问题和电性能问题。3. 负责领导团队解决GaN 工艺可靠性问题。4. 负责团队与各个部门之间的协调工作。5. 完成领导安排的其他任务。岗位要求：1. 学历要求：博士；2. 专业要求：微电子，材料科学，电子科学与技术，半导体物理，集成电路专业等与半导体相关的专业；3. 工作经验：有半导体行业工作经验10年以上...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC375646680J40812698114.htm,300-499人,2025-12-15 14:07:56,25000.0,50000.0,12.0
2026-高级生产测试工艺工程师,成都,鼎桥技术有限公司,本科,10年以上,"数通测试,基站测试,射频测试,无线测试,5G",25000-45000,岗位职责:1、负责无线产品整机生产测试方案设计，参与生产测试装备开发及优化，持续优化产品生产的组装、测试工艺，解决生产过程技术、质量问题，保证生产任务的及时高效产出；2、负责优化和改进无线整机产品的组装、测试工艺方法，合理设计生产工序，持续提高生产效率，降低生产成本；3、负责制定无线产品的可制造基线要求，保证在新产品开发过程中有效落地可制造性要求；4、负责组织新产品的试制及NPI导入工作，协同研发...,通信/网络设备,http://jobs.zhaopin.com/CCL1511150630J40834678314.htm,1000-9999人,2026-01-04 15:17:04,25000.0,45000.0,16.0
天然气处理厂-中控工艺工程师（伊拉克）,成都,四川佳运油气技术服务有限公司成都分公司,大专,3-5年,"天然气处理厂,炼化工艺",30000-45000,一、工作职责1、严格遵守公司及部门各项管理制度，确保工作的规范性和高效性。2、监控天然气处理DCS系统，根据工况调整天然气处理工况参数，根据应急程序执行ESD停机、消防、失电等应急预案操作程序；3、配合现场操作人员启、停天然气处理厂内设备，监控和调节天然气处理系统的流量、液位、压力、温度等；4、依据现场经理指令组织协调现场操作人员完成相关生产任务，并积极配合领导的工作安排，高效、高质量地完成其他临...,石油/石化,http://jobs.zhaopin.com/CC342489830J40790673309.htm,1000-9999人,2025-12-01 15:07:49,30000.0,45000.0,12.0
装备工艺岗-微显示,成都,歌尔股份,硕士,3-5年,,20000-40000,岗位职责：方向一：半导体后道相关工艺研究；方向二：显示前道相关工艺；岗位要求：1. 材料、物理相关专业硕士及以上学历，3年以上相关工作经验；2. 熟练使用高速摄像机、显微镜等相关实验仪器设备；熟悉DOE，SPC，8D及FEMA等分析工具；3. 熟悉胶合、贴合、键合等焊粘接材料特性，并有以上亚微米级工艺的直接经验；4. 有实验规划\设计\执行\数据分析\工艺改进的闭环能力；5. 有中外资料文献查阅提...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC132726540J40744774406.htm,10000人以上,2025-12-31 12:53:28,20000.0,40000.0,12.0
高级工艺工程师,成都,深圳市联壹胜实业有限公司,本科,5-10年,,25000-40000,岗位职责： 1、参与产品的设计方案和详细设计评审，提出设计上的工艺性建议；2、编制产品各阶段的工艺总方案；3、设计产品工艺流程，编写工艺规程及生产流程卡；4、负责产品外场装配流程的设计、装配和指导、对外技术协调沟通等；5、负责编制工艺装备的使用维护保养手册，负责关键和重要设备的维护和保养； 6、配合公司完善装配生产工艺体系；7、负责对装配生产人员技能和项目装配要求的培训，监督检查装配生产人员的操作...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC874525950J40851669213.htm,100-299人,2025-12-24 13:59:17,25000.0,40000.0,12.0
生产测试工艺高级工程师,成都,成都鼎桥通信技术有限公司,本科,10年以上,"工艺设计,新品导入（NPI）,工艺改良",20000-40000,岗位职责：1、 负责无线产品整机生产测试方案设计，参与生产测试装备开发及优化，持续优化产品生产的组装、测试工艺，解决生产过程技术、质量问题，保证生产任务的及时高效产出；2、 负责优化和改进无线整机产品的组装、测试工艺方法，合理设计生产工序，持续提高生产效率，降低生产成本；3、 负责制定无线产品的可制造基线要求，保证在新产品开发过程中有效落地可制造性要求；4、 负责组织新产品的试制及NPI导入工作，...,通信/网络设备,http://jobs.zhaopin.com/CC451015510J40818870207.htm,1000-9999人,2025-12-23 15:33:48,20000.0,40000.0,12.0
战略投资经理（化工先进工艺与新材料）,成都,新希望化工投资有限公司,硕士,5-10年,"产业投资,企业投资,战略投资",20000-40000,核心职责1、深入理解我司核心工艺的技术逻辑、成本结构与扩展边界，并以此为基础，绘制覆盖绿色化学、高效分离、催化技术、先进冶金、新能源材料制备等领域的投资全景图。2、持续跟踪全球化工、冶金、固态电池、新能源材料（如锂、钴、镍、钛、锆等高纯材料）领域的市场动态、技术路线及竞争格局。3、主导从项目发掘、初步筛选、尽职调查（技术尽调与商业尽调）、财务建模、估值谈判到交易执行的全过程。特别注重对潜在标的的技...,化工,http://jobs.zhaopin.com/CC208259310J40862433203.htm,1000-9999人,2025-12-09 17:29:44,20000.0,40000.0,12.0
工艺设计专业负责人（化工）,成都,中国化学工程第七建设有限公司,本科,10年以上,工艺设计,30000-40000,岗位职责：1.负责石油化工炼化项目的工艺方案设计、流程优化及技术可行性分析。2.编制工艺流程图（PFD）、管道仪表流程图（P&ID）及工艺计算书，确保设计符合行业规范。3.参与项目前期技术交流，协助完成工艺包开发及技术标书编制。4.协调设备、仪表、电气等专业，解决工艺设计中的技术问题。5.审核施工图纸，配合现场施工提供技术支持，处理工艺相关变更。6.跟踪行业技术动态，优化现有工艺设计，提升能效与环...,工程施工,http://jobs.zhaopin.com/CC224012120J40844216612.htm,1000-9999人,2025-10-30 08:54:44,30000.0,40000.0,12.0
