职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
AI应用工程师（集团总部）,重庆,欧菲斯集团股份有限公司,本科,1-3年,,30000-60000,我们正在寻找一位能“听懂业务、动手做事”的AI智能体开发专家。您的使命不是搭建聊天机器人，而是构建真正能代替人完成任务的自主AI智能体。您将作为公司AI智能体体系的核心建设者，深入理解业务流程，从0到1设计并落地高价值智能体。初期重点攻坚两大场景：采购智能体、内部知识库智能体。长期目标是系统性解放重复性人力，让员工专注创造性工作。 核心职责：1、业务需求转化官：深入各业务部门，一起找出“最值得让A...,零售/批发,http://jobs.zhaopin.com/CC667064920J40902548108.htm,1000-9999人,2025-12-13 01:22:50,30000.0,60000.0,13.0
拔尖计划-生活物联网AI大模型技术专家,重庆,中移物联网,硕士,5-10年,,30000-50000,工作职责1、负责AI大模型相关基础技术研究，追踪AI大模型前沿技术方向并进行技术预研，制定技术发展计划；2、负责开展生活物联网场景智能体的设计，负责解决其中的关键难题，确保产品在关键环节具备竞争力；3、制定AI智能体研发规范和流程，为团队提供专业的技术指导和支持；4、负责跨部门AI能力的协调与融合，推进项目的开展与实施；5、完成上级领导交办的其他事项；任职资格1、教育背景：拥有计算机、人工智能等相...,物联网,http://jobs.zhaopin.com/CC545530120J40831928010.htm,1000-9999人,2026-01-06 14:56:58,30000.0,50000.0,16.0
AI 图编译器工程师,重庆,象帝先计算技术(重庆)有限公司成都分公司,本科,3-5年,"C++,LLVM,MLIR",25000-50000,岗位职责：1. 负责开发图编译器，对接使能各个模型；2. 负责图优化；3. 负责开发组内各种工具和其他工作；任职要求：1. 具备丰富的C++开发经验，熟悉基本的数据结构和算法；2. 熟悉LLVM和MLIR相关知识；3. 具备一定的AI基础知识；4. 良好的问题解决能力与团队沟通能力。,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1311940980J40943648604.htm,500-999人,2026-01-04 15:39:05,25000.0,50000.0,16.0
算法工程师,重庆,重庆通用人工智能研究院,本科,3-5年,"机器学习,深度学习",25000-50000,重庆通用人工智能研究院；高级、中级、初级均有岗位1、负责项目场景的算法开发，根据已有的算力资源搭建合适的算法框架。2、学习前沿算法技术，为中级算法工程师及实习算法工程师进行算法培训与指导。3、与产品经理对接算法开发进度以及资源需求情况。要求：1、硕士学历及以上，5年以上相关工作经验。2、精通Python（主流）、C++或Java。深厚的算法理论基础，熟悉机器学习、深度学习、优化算法等。3、熟练使用...,学术/科研,http://jobs.zhaopin.com/CCL1514232650J40906429108.htm,20-99人,2025-12-31 10:06:27,25000.0,50000.0,15.0
高级算法专家,重庆,重庆富沛和科技有限公司,本科,3-5年,"机器学习,图像算法,大模型算法,C++,Python",30000-45000,一、 战略与规划1、制定并执行公司算法技术的长期发展战略、发展施路线图和实时策略，确保与公司整体业务目标对齐。2、洞察业界最新算法技术趋势（如大模型、多模态、计算机视觉技术等），评估其与公司业务的结合点，推动技术前瞻性试验与落地。3、负责算法团队的技术选型、架构设计、数据体系建设和评审，确保技术方案的先进性、可扩展性和稳定性。二、 团队建设与管理1、负责算法团队的搭建、培养和管理，包括但不限于招聘...,IT服务,http://jobs.zhaopin.com/CC311178430J40823275010.htm,20-99人,2025-11-24 16:47:03,30000.0,45000.0,12.0
AI Framework工程师,重庆,象帝先计算技术(重庆)有限公司成都分公司,本科,3-5年,AI架构,25000-50000,"岗位职责：1. 基于高性能算子库和AI编译器，对接各个AI开源框架；2. 负责使能模型业务；3. 负责其他与AI框架相关的开发工作；任职要求：1. 具备丰富的C++开发经验，熟悉基本的数据结构和算法；2. 熟悉常见的AI框架，比如tensorflow,pytorch，vllm等；3. 具备相关AI框架的开发经验优先；4. 良好的问题解决能力与团队沟通能力。",电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1311940980J40942004604.htm,500-999人,2026-01-04 15:37:53,25000.0,50000.0,16.0
NLP高级算法工程师,重庆,重庆通用人工智能研究院,硕士,5-10年,"PyTorch,TensorFlow",30000-50000,1、主导知识表征、多模态数据建模、知识推理等核心算法研发，支撑数据知识加工流水线搭建；2、主导行业知识库架构设计与构建，推动行业知识库落地应用；3、牵头算法团队攻克技术难点，保障数据知识加工流水线稳定运行；4、参与智能体模板设计，输出数字智能体核心算法模块；5、主导算法相关知识产权布局，牵头完成核心技术专利/软著申报。要求： 1、硕士及以上学历，计算机、统计、人工智能等相关专业； 2、5年以上NL...,学术/科研,http://jobs.zhaopin.com/CCL1514232650J40908066308.htm,20-99人,2025-12-30 01:22:29,30000.0,50000.0,15.0
雷达数据处理算法工程师,重庆,河南承方人力资源服务有限公司,本科,3-5年,雷达算法,20000-40000,岗位职责：1. 负麦汽车雷达多目标轨迹跟踪、预测算法的开发与调试:2. 负麦解决汽车雷达实际应用中的多目标跟踪问题;3. 负麦汽车雷达大量路试数据的后处理，优化目标跟踪算法；4. 负责汽车雷达多目标轨迹跟踪算法的相关技术文档撰写;5. 协助汽车雷达测试、数据采集及分析；6. 协助汽车雷达多目标轨迹跟踪算法的嵌入式软件实现。任职要求：1. 学历要求:电子、信号处理、计算机等相关专业，本科及以上学历;...,人力资源服务,http://jobs.zhaopin.com/CCL1484302980J40825609114.htm,100-299人,2026-01-08 09:25:45,20000.0,40000.0,13.0
智能驾驶算法工程师（规控、定位、感知）,重庆,软通动力信息技术(集团)股份有限公司,硕士,1-3年,无人驾驶,20000-40000,规控、定位、感知方向有一即可，以下为定位算法JD根据不同的场景需求确定定位方案并进行相关定位逻辑的开发与测试，满足各模块对定位精度的要求；同时可以辅助进行各传感器标定与时间同步的工作。不同场景（包括地下、无GNSS、RTK等）定位方案设计、及其开发。职责及要求1. 多场景定位方案设计a) 开发高精度定位算法（GNSS/RTK/IMU/LiDAR-SLAM融合等），适配地下车库、城市峡谷等复杂场景b...,互联网,http://jobs.zhaopin.com/CC000544460J40785224616.htm,10000人以上,2026-01-05 10:05:55,20000.0,40000.0,12.0
机器视觉算法工程师,重庆,浪潮集团,硕士,1-3年,"C#,OpenCV,图像识别产品",20000-40000,"工作职责： 1、根据客户需求开发解决实际问题的视觉算法；2、维护公司现有的视觉算法等；3、使用C#和C++进行应用程序的构建和维护；4、熟练使用各种视觉算法，比如：OpenCV,Halcon等；5、对现有的应用程序进行视觉评估，并提出光学方案等；6、现场交付设备的安装和调试。任职要求：1、1年以上相关工作经验，计算机/自动化等相关专业毕业；2、熟悉C#或C++，有面向对象编程基础；3、熟练使用Op...",IT服务,http://jobs.zhaopin.com/CC120143600J40876524615.htm,10000人以上,2026-01-04 01:39:28,20000.0,40000.0,14.0
信号处理算法工程师,重庆,河南承方人力资源服务有限公司,硕士,3-5年,雷达算法,20000-40000,岗位职责1、负责毫米波雷达的信号处理算法方案设计与仿真;2、负责和参与项目中外场试验与测试数据的采集、处理、分析与问题排查;3、负麦对民用毫米波雷达领域前沿算法技术的调研与仿真开发;4、配合软件工程师共同完成嵌入式代码编写:5、整理编写、整理与算法相关的设计文档、试验报告等:任职要求1、电子信息、雷达、信号处理相关专业硕士及以上学历，3年以上相关工作经验;2、掌握常见的雷达信号处理算法，包括:FM...,人力资源服务,http://jobs.zhaopin.com/CCL1484302980J40825608414.htm,100-299人,2026-01-08 09:25:18,20000.0,40000.0,12.0
算法工程师,重庆,重庆通用人工智能研究院,硕士,5-10年,"深度学习,机器学习",20000-40000,社会智能中心，高、中、初级算法皆有需求： 1、负责项目场景的算法开发，根据已有的算力资源搭建合适的算法框架。2、学习前沿算法技术，为中级算法工程师及实习算法工程师进行算法培训与指导。3、与产品经理对接算法开发进度以及资源需求情况。要求：1、硕士学历及以上，3年以上相关工作经验。2、精通Python（主流）、C++或Java。深厚的算法理论基础，熟悉机器学习、深度学习、优化算法等。3、熟练使用Ten...,学术/科研,http://jobs.zhaopin.com/CCL1514232650J40908065808.htm,20-99人,2025-12-29 10:50:30,20000.0,40000.0,15.0
AI工程师（音频处理与算法优化方向）,重庆,瑞尼柯(上海)科技有限公司,硕士,3-5年,音视频算法,20000-40000,职位概述：我们正在寻找一位专注于音频处理与算法优化的AI工程师。您将负责设计、开发和优化先进的音频处理模型及算法，推动我们在语音、音乐、环境音等音频领域的技术创新与应用落地。如果您对声学、深度学习及高性能计算充满热情，并渴望解决现实世界中的音频挑战，我们期待您的加入。 岗位职责： - 负责音频相关AI模型（如语音识别、语音合成、音源分离、音频增强、音乐信息检索等）的研究、开发与优化。 - 针对业务...,计算机软件,http://jobs.zhaopin.com/CCL1257723730J40816520611.htm,20-99人,2025-12-23 15:53:04,20000.0,40000.0,13.0
