职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
河南分公司总编辑,郑州,央视国际网络有限公司,本科,5-10年,"运营编辑,营销编辑",50000-60000,职位描述岗位使命以习近平新时代中国特色社会主义思想为指导，把准舆论导向，紧跟互联网行业发展趋势。科学调整分公司频道布局与内容建设，统筹宣传报道、内容管理和信息安全工作，着力提升所在区域内容竞争力、媒体影响力与品牌形象，确保内容建设服务国家利益，推动传播效果持续优化 。岗位职责一、内容编辑1.深入研究报道规划：带领团队深入研究分公司区域频道的宣传报道规划和策略。2.制定全面宣传方案：明确宣传活动的时...,互联网,http://jobs.zhaopin.com/CC138910710J40795223014.htm,1000-9999人,2026-01-06 01:38:09,50000.0,60000.0,12.0
【智能图书】新媒体运营负责人,郑州,作业帮,本科,3-5年,"短视频平台,快手,抖音,教育类,母婴类,短视频运营,直播运营,电商运营",40000-60000,异地招聘：江西省南昌市青山湖区 【岗位职责】直播体系搭建策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；优化直播流量获取与转化路径，提升GMV及用户留存率。 短视频内容战略 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量； 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。 达人团队管理 负责达人招募、签约、孵化及KPI考核，建立分层管理机制； 整合达人资源与品牌...,互联网,http://jobs.zhaopin.com/CC287198080J40784192814.htm,10000人以上,2025-09-10 00:09:42,40000.0,60000.0,12.0
抖音运营（20K-40K）,郑州,河南冬时数码科技有限公司,大专,3-5年,"短视频平台,抖音,教育类",20000-40000,团队和谐，零内耗，能力强与收入成绝对正比，不拖欠工资！公司销售青少年期刊杂志，青少年教育产品，选品皆为类目中的爆品，自带流量，覆盖主流销售平台天猫、抖音、京东等，期待您的加入！【职位优势介绍】1、运营薪资20-40K（本范围为旺季实际数据统计），年龄20-30岁，特别优秀者不限经验；2、旺季时间长，9月份期刊杂志旺季开始，直至次年的5月；3、期刊杂志客单高，人群消费能力强；4、类目符合国家教育政策...,电子商务,http://jobs.zhaopin.com/CCL1487572260J40962714004.htm,20-99人,2025-10-30 14:12:30,20000.0,40000.0,12.0
文案编辑,郑州,郑州启尚文化传媒有限公司,学历不限,1-3年,"兼职,今日头条,自媒体",,工作日期：不限工作时间：不限本兼职不招小白，不能使用ai撰写，仅需要之前有过今日头条娱乐民生领域相关供稿经验的小伙伴。本兼职不招小白！本兼职不招小白！本兼职不招小白！1.按照要求撰写图文，文章偏向于娱乐，民生，国际等，可根据个人兴趣爱好进行安排。2.文章字数在2500+字。3.稿费50元/篇，稿费明确，童叟无欺，能者多劳4.有能力者不限篇数，有时间就可以写，多劳多得5.本兼职为长期兼职！如果您空余...,新媒体,http://jobs.zhaopin.com/CCL1471422410J40834753214.htm,20-99人,2026-01-04 17:56:45,,,
新媒体营销负责人—（智能图书、管幅30+）,郑州,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",40000-60000,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585714.htm,10000人以上,2025-09-10 00:02:43,40000.0,60000.0,12.0
内容经理,郑州,泉州市嘉信才略投资有限公司,大专,3-5年,"抖音,短视频脚本撰写,分析内容数据表现",20000-35000,岗位职责1、 搭建抖音内容体系，制定短视频、种草内容的选题规划与SOP，确保内容产出效率与质量，实现品牌声量与转化双增长；2、 独立完成短视频脚本撰写、拍摄指导、剪辑包装及视觉素材设计，打造符合品牌调性的内容矩阵；3、 策划并执行种草活动，筛选适配达人/KOC资源，跟进合作全流程，监控内容传播数据；4、 分析内容数据表现，迭代优化选题、视觉呈现与种草策略，提升内容转化率与用户复购意愿；5、 收集行...,人力资源服务,http://jobs.zhaopin.com/CC700772380J40978884204.htm,20-99人,2026-01-08 10:40:54,20000.0,35000.0,12.0
海外视频运营,郑州,郑州日新阅益文化传播有限公司,本科,3-5年,"视频类,YOUTUBE,海外短剧内容运营",20000-35000,岗位描述：1.掌握Youtube常用创作形式（图文/语音解说/幽默口播/剪辑二创等），紧跟海外内容趋势；2.负责Youtube 账号的日常短剧内容发布与运营，选题、脚本、剪辑全流程介入，视频的观看量等相关核心指标与数据；3.独立剪辑、撰写相关文案（有相关经验的优先考虑）；4.熟悉收益模式，广告、短剧市场、营销等；5.定期复盘数据，优化内容节奏、脚本钩子与标签策略。6.结合垂类特性，快速制作优质短视...,广播/影视,http://jobs.zhaopin.com/CC469489030J40793158401.htm,1000-9999人,2025-09-27 13:51:26,20000.0,35000.0,12.0
短视频文案策划,郑州,河南壹玖纵横管理咨询有限公司,大专,1-3年,文案策划,20000-30000,一、岗位基本信息1. 岗位名称：商业IP短视频文案（专项）2. 招聘人数：1人3. 工作地点：优秀候选人可接受兼职/远程办公4. 汇报对象：项目负责人5. 招聘优先级：高优先级6. 核心产出：短视频选题初稿、对话式脚本二、岗位核心定位聚焦袁国顺老师“免费模式”商业IP，核心负责短视频选题策划+对话式脚本创作，专注内容本身——从大众熟知话题、社会热点中挖掘商业切入点，设计犀利问题与逻辑清晰的文案框架...,咨询服务,http://jobs.zhaopin.com/CCL1464211220J40867254403.htm,20-99人,2026-01-10 14:04:38,20000.0,30000.0,12.0
电商公司-小红书运营负责人+上市公司+单双休+福利,郑州,郑州九辰信息技术有限公司,大专,1-3年,"短视频平台,小红书,美妆类,内容运营,活动运营,品牌运营,小红书运营",15000-30000,岗位职责：1、全权负责小红书平台的日常运营管理，包括但不限于内容策划、发布与维护2、分析小红书平台数据，优化内容策略，提升品牌影响力和用户互动率3、维护品牌在小红书的形象，定期跟进市场趋势，策划并执行相关营销活动4、负责小红书的投放等工作任职要求：1、大专及以上学历，2年以上小红书运营经验，2年团队管理经验，自己可以独立投放等2、熟悉个护家清等快消类目，精通小红书平台运营模式及用户转化模型3、具有...,电子商务,http://jobs.zhaopin.com/CCL1435043090J40868581103.htm,1000-9999人,2026-01-08 14:05:57,15000.0,30000.0,12.0
新媒体运营,郑州,河南沣源品牌管理有限公司,学历不限,1-3年,"短视频平台,图文平台,今日头条,小红书,微信公众号,抖音,快手,微信视频号,教育类,医疗类,科普类,短视频运营,直播运营,内容运营",15000-30000,岗位职责： 1、策划并执行品牌直播/短视频活动，确保直播/短视频内容质量与效果； 2、监控直播/短视频数据，分析观众互动及购买行为，优化直播/短视频策略和内容； 3、与团队协作，协调直播前、中、后的各项准备工作； 4、维护直播间秩序，提升用户体验，增强粉丝粘性； 5、定期总结直播/短视频效果，提出改进建议并落实于后续直播中。 任职要求： 1、熟悉直播行业运作，具备相关直播运营经验； 2、具备较强的...,新零售,http://jobs.zhaopin.com/CCL1509903790J40913611515.htm,20-99人,2026-01-08 12:53:13,15000.0,30000.0,12.0
