职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
内容编辑总监,厦门,厦门雅迅智联科技股份有限公司,大专,5-10年,"摄影类,微电影",1.8-2.5万,岗位职责：1、内容顶层设计：确立平台微电影的审美天花板，确保产出的每一部微电影都具有高级感。2、团队管理与SOP：统筹编导、AI剪辑及后期团队，婚礼微电影的内容框架、主题方向、叙事结构；打造差异化婚美内容品牌，严格把控交付质量，及时调整“不达标”环节。3、流程优化：深入研究婚恋市场的审美趋势，结合AIGC能力，优化流程。4、数据分析：基于平台数据持续迭代选题方向与情绪点打法的分析报告。任职要求：1...,物联网,http://jobs.zhaopin.com/CC138128960J40779325316.htm,1000-9999人,2025-12-23 01:48:05
新媒体运营经理,厦门,厦门小题旅行科技有限公司,本科,3-5年,"短视频平台,图文平台,小红书,微信公众号,抖音,哔哩哔哩,内容运营,短视频运营",1.2-2.4万,【岗位职责】1、负责带领团队完成小红书、抖音等平台创意内容策划、撰稿、排版制作及日常运维等全流程工作；2、精准拆解客户需求，结合平台玩法规则与传播规律策划选题，制定可执行内容方案；3、以回端/转化思维赋能团队，主导（拉新/引导入端/留存/转化）对核心指标（增粉、曝光、互动、DAU等）负责；4、搭建业务数据看板，定期输出复盘报告；基于用户行为习惯，洞察输出优化方案；5、跨平台协同支持（含闲鱼等电商平...,广告/营销,http://jobs.zhaopin.com/CCL1381644200J40844305812.htm,500-999人,2025-10-30 11:16:44
内容运营【核心培养方向】,厦门,厦门浪起文化科技有限公司,本科,经验不限,"视频类,抖音",1.2-2.2万,浪起，全国头部教育电商公司。公司代表性抖音账号：【小学数学张老师】-500万粉丝，抖音教育赛道TOP1。晋升路径：管理/专家双线可选，为晋升带来更多可能性固定调薪：每年固定1-2次调薪&晋升机会入职即缴五险一金，岗位base在厦门【岗位职责】1. 负责视频号的短视频账号运营落地执行；2. 关注视频号流量动态，了解平台和竞品市场变化，深度挖掘用户对内容的需求；3、完成脚本创意、拍摄、剪辑、发布、数据...,电子商务,http://jobs.zhaopin.com/CC843289540J40749605509.htm,500-999人,2025-06-25 11:22:47
内容营销经理,厦门,厦门雅迅智联科技股份有限公司,大专,3-5年,"小红书,快手",1.5-2万,主要职责：1、负责项目产品服务整体推广和投放策略制定，用户增长策略，销售额达成策略制定；2、负责电商团队、小红书内容团队以及商务媒介团队日常管理；3、通过各渠道资源整合，投流杠杆运用，达成各项上级下达的工作指标。任职要求：1、大专 (含)以上，市场营销、电子商务、管理学等相关专业；2、5 年以上，内容营销经理岗位；3、3年以上同时操盘传统电商（天猫为主），兴趣电商（小红书/抖音）和微信生态成功案例...,物联网,http://jobs.zhaopin.com/CC138128960J40782753316.htm,1000-9999人,2025-12-22 18:52:03
新媒体运营经理（工作地：福建南平）,厦门,南平吾三有十服饰有限公司,大专,5-10年,"短视频平台,图文平台,微信公众号,小红书",1.5-2万,岗位内容：1. 执行公司新媒体推广策略，及时更新各个社交媒体平台的内容和互动，提升社交媒体品牌影响力；2. 关注市场和行业趋势，了解消费者心理需求，提出创意方案和运营建议，促进销售增长；3. 负责社交媒体平台的日常维护、数据分析和报告输出，反馈内容改进意见和提升策略；4. 协助其他部门完成相关工作。任职要求：1. 具备良好的写作和编辑能力，热爱新媒体和数字营销，对社交媒体有浓厚兴趣；2. 应届毕业...,零售/批发,http://jobs.zhaopin.com/CCL1480616010J40905737408.htm,300-499人,2025-12-11 09:51:24
新媒体运营专员·厦门(J11590),厦门,快乐学习(厦门)文化有限公司,本科,3-5年,教育类,1-2万,【岗位职责】1、各新媒体平台的内容策划、日常运营及粉丝增长；2、制定传播策略，策划创意活动；3、设计最优引流路径，促进私域转化。【认知要求】1、本科及以上学历，3年及以上教培行业新媒体运营经验；2、具备文案撰写、用户洞察力，有爆款案例者优先。更加详细的岗位职责及任职要求，我们将在面试中与您详谈。 加入我们你将获得： 1、有竞争力的薪资待遇、每年1-2次涨薪考核机会； 2、五险一金、落户厦门、优先享...,培训/辅导服务,http://jobs.zhaopin.com/CCL1481350920J40561543206.htm,1000-9999人,2025-11-20 00:00:02
海外新媒体运营推广,厦门,容大合众(厦门)科技集团股份公司,本科,5-10年,"短视频平台,海外平台,TikTok,YouTube,Facebook,抖音,微信视频号,短视频运营,产品运营,内容运营,海外社媒,自媒体推广,引流",1.5-2万,岗位职责：1.负责制定执行公司海外市场推广计划；2.通过海外社交媒体平台，制定并执行有效的社交媒体运营计划，根据网站运营情况制定广告投放计划，海外平台流量渠道的SEO和SEM，以持续扩大和维护用户规模;3.分析海外市场趋势，为运营策略提供数据支持和市场洞察，负责对推广效果进行评估，数据进行分析汇报；4.根据公司产品制定新媒体运营策略，包装提炼线上概念，组织领导图文、视频制作及传播，监测效果；5.负...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC424460810J40664755912.htm,500-999人,2025-08-25 09:27:20
高级天猫文案策划,厦门,厦门斯辰传媒有限公司,大专,1-3年,"电商类,广告类,日化美妆经验,天猫平台经验,详情页策划",1-1.8万·13薪,【集团介绍】关于我们：顾诺集团，成立于2016年，总部位于厦门湖里区独栋6层办公大厦，专注为家庭日化品牌提供「自营+代运营」一体化解决方案，深度布局抖音、天猫、京东、拼多多等核心渠道，产品矩阵覆盖：家庭清洁、环境净化、个人护理等系列，满足家庭全场景清洁需求。我们的成绩：1、自主研发沫檬、康思嘉等日化品牌，其中地板清洁剂、洗衣机槽清洁剂成为全网爆款，2022年一跃成为抖音家清品类市TOP1，并持续高...,电子商务,http://jobs.zhaopin.com/CCL1281702680J40745942406.htm,1000-9999人,2026-01-07 11:23:42
新媒体运营经理【代运营赛道｜全案营销】,厦门,厦门小题旅行科技有限公司,本科,3-5年,"短视频平台,抖音,快手,哔哩哔哩,医疗类,美妆类,母婴类,短视频运营,品牌运营,内容运营",1.2-1.8万,你的工作：1. 有良好文案创作能力和项目策划能力，接收甲方需求有准确判断力，独立拆解任务指令，带团队执行落地及KPI达成(前端数据、后端转化率等);2. 管理5-10人内容团队，制定标准化执行流程（选题-制作-投放-复盘），通过爆款内容拆解、信息流投放优化及用户行为分析，迭代运营策略并提升ROI。3. 具备文档管理、任务进度安排以及结果导向的项目进度管理意识;4. 把握运营方向，具备敏锐的嗅觉，能...,广告/营销,http://jobs.zhaopin.com/CCL1381644200J40845658012.htm,500-999人,2025-11-04 11:08:33
海外社媒营销,厦门,厦门沙盒视界电子商务有限公司,本科,3-5年,,8000-15000元,"岗位职责1.私域流量管理：l 全面负责公司账号在社交平台的内容策划，围绕公司目标及产品特色，搭建并维护私域流量池，确保用户增长、留存及持续转化。平台包括VK, Dzen, Telegram, Pikabu, YouTube等，确保内容质量及更新频率，符合品牌调性；l 设计并实施有效的引流策略，将公域流量（包括线上电商平台、短视频、社交媒体、线下活动等）高效导入私域。2.负责社交媒体创意，并与视觉团...",电子商务,http://jobs.zhaopin.com/CCL1272155460J40719713211.htm,20-99人,2026-01-12 09:02:46
抖音视频号内容运营,厦门,厦门铂斯宁商贸有限公司,学历不限,1-3年,"小红书,微信公众号,抖音,视频类",1-1.5万,岗位内容：1. 负责运营公司产品的各类平台，如微信、微博、抖音等，并进行品牌宣传和推广。2. 策划并执行社交媒体活动，编写文字、图片、视频等多媒体素材，提高品牌知名度和用户黏性。3. 通过SEO等手段提升网站流量和排名，并对网站内容进行优化和更新。任职要求：1. 具备两年以上相关内容运营经验，熟悉多种社交媒体平台。2. 擅长撰写策划方案和文案，并能够配合制作各类多媒体素材。3. 具备良好的沟通和协...,零售/批发,http://jobs.zhaopin.com/CC540707920J40849094103.htm,20-99人,2026-01-09 14:58:20
海外社媒运营经理,厦门,厦门联合物流有限公司,本科,3-5年,海外社媒推广,8000-15000元·13薪,岗位职责一、客户线索与关系管理1. 制定并执行针对CRM客户（沉睡客户及新增线索）的月度/年度线上激活与开发计划；2. 构建客户分层体系，设计差异化生命周期沟通与邮件营销策略，提升交叉销售与复购率。 二、海外数字渠道与搜索引擎营销 1.全面负责集团及子公司在Google（SEO与SEM）、LinkedIn、Facebook、Instagram等海外核心渠道的流量获取与内容运营； 2.制定并执行Go...,货运/物流/仓储,http://jobs.zhaopin.com/CC218898310J40738933802.htm,100-299人,2026-01-04 15:16:20
AIGC营销内容创作,厦门,厦门雅迅智联科技股份有限公司,大专,1-3年,"AIGC,AI",8000-15000元,工作内容：1、AIGC内容创作： 根据终端客户需求，独立创作营销类AIGC作品，包括创意海报，短视频，TVC广告等；2、提示词优化： 根据不同创作场景，优化提炼创作提示词，协同产品研发团队改进智能体生成质量；3、工作流搭建： 将可复用的内容创作通过comfyui或coze等工具流程化，不断提升同类型内容创作效率；4、领导交办的其他事项。任职要求：1、学历：大专(含)以上，数字媒体、广告学，计算机等...,物联网,http://jobs.zhaopin.com/CC138128960J40781726116.htm,1000-9999人,2025-12-17 15:29:13
小红书内容运营,厦门,厦门易尔通,大专,1-3年,"视频类,文本类,音频类,小红书,抖音",8000-15000元,加入我们！小红书内容运营专员（全职）🌟📍 工作地点：[厦门软件园二期]💼 职位类型：全职💰 薪资范围：6-15K我们热爱小红书平台，致力于通过优质内容与用户建立深度连接！如果你也热爱分享、擅长创作，欢迎加入我们的团队！📝 工作内容内容策划与创作：负责小红书账号的内容规划、选题策划，撰写高互动文案，制作吸睛的图文/短视频。账号运营：日常发布、粉丝互动、评论维护，提升账号活跃度与用户粘性。数...,互联网,http://jobs.zhaopin.com/CC188190410J40788941714.htm,1000-9999人,2025-11-27 09:19:03
内容主管 (MJ000081),厦门,厦门起量科技有限公司,本科,1-3年,"视频类,美妆,抖音,小红书",1-1.5万,岗位定位：您将是我们内容团队的“技术核心”与“质量守门员”。不仅自身是剪辑领域的顶尖高手，更能带领团队将优质内容工业化、规模化生产，直接驱动公司带货业绩增长。一、 核心职责：技术与管理并重1. 顶尖技术实践与引领：* 从0到1独立操盘：熟练掌握剪映软件，能够独立完成长剧情视频（3-5分钟）的全程制作，包括但不限于剧本拆解、素材整合、精剪、节奏把控。* 精通全链路后期：深度精通各类剪辑软件，在特效包...,新媒体,http://jobs.zhaopin.com/CC891777330J40809431101.htm,500-999人,2025-11-25 09:59:56
达人运营经理,厦门,厦门雅迅智联科技股份有限公司,本科,3-5年,"短视频平台,抖音,快手,哔哩哔哩,内容运营,用户运营,达人",8000-15000元,主要职责：1、达人的挖掘、招募、价格谈判及长期关系维护；2、与商务团队协同，为达人筛选合适的商业订单；3、签约达人的日常沟通与管理，制定个性化成长路径；4、处理达人运营过程中的各类问题，维护长期良好关系。核心期望：1、有效达人开发量≥10人/月；2、月均成交金额≥2000元/月/达人。任职要求：1、本科(含)以上，市场营销、新闻传播、传媒经济等相关专业；2、 3 年以上，达人运营岗位；3、具备独立...,物联网,http://jobs.zhaopin.com/CC138128960J40767692816.htm,1000-9999人,2025-11-12 09:04:01
