职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
内容运营专家 (MJ000269),南京,江苏天马网络科技集团有限公司,本科,3-5年,"文本类,视频类,小红书,微信公众号,抖音",2-4万,岗位职责1、负责集团内容部门的统筹运营管理，制定内容团队发展策略，在各主流社交媒体平台建立矩阵号，包括官方账号运营、自由账号孵化等；2、带领团队运营各个社交媒体账号，在各平台打造爆款内容，提升账号能级，帮助团队在运动、户外品类实现优秀的宣发能力；3、基于品牌定位及用户需求，制定总体用户增长策略，对付费投放效果、曝光量以及拉新数负责；4、负责品牌推广的年度预算制定与执行，确保预算的合理分配和有效利用...,互联网,http://jobs.zhaopin.com/CC328794520J40769923810.htm,1000-9999人,2026-01-08 16:59:19
市场商务总监（游戏互联网 B端）,南京,江苏猎宝网络科技股份有限公司,大专,3-5年,,2.8-4万,岗位职责：1、负责公司产品在全国网吧、电商渠道，应用市场，自媒体等商务拓展和关系维护2、主导策划客户合作方案，并提出商业化合作策略，包括但不限于内容资源商业化输出、商务洽谈和落地；3、负责跟进项目的实施，协助项目部门，跟进项目的开展和运营数据的分析，形成定期报告、提出改善建议。4 、开展以拓客为主要目的的异业合作沟通及联合推广工作。任职资格：1、3年以上行业经验，网吧行业优先，熟悉应用市场、电商平...,游戏,http://jobs.zhaopin.com/CC272311010J40821332107.htm,300-499人,2026-01-07 12:01:41
游戏主播55,南京,南京问心网络科技有限公司,学历不限,经验不限,"游戏主播,虎牙直播",200元/时,【岗位介绍】游戏电竞师，主要工作陪客户打游戏，纯绿色，时薪20-80/h，平台推单。音视频直播，直播内容是与进入直播间的听众闲聊互动，健康正规，有专业运营指导，无需经验。不会推送给自己的好友，有效保护隐私。【岗位要求】音频主播:无需经验，无需露脸，门槛低，任何人都可尝试。游戏大神：无需经验，需要露脸，建议性格开朗的人尝试。【岗位优势】1、流量:流量多，不必为流量发愁。2、自由:居家，时间自由，与其...,互联网,http://jobs.zhaopin.com/CCL1226607900J40626158515.htm,10000人以上,2025-05-20 10:06:47
医院新媒体运营经理,南京,潍坊银康医院,本科,3-5年,,1.5-3万,岗位内容：1. 负责医院所有新媒体账号的管理和更新，包括但不限于微信公众号、微博等；2. 根据公司整体营销方向，制定并执行线上营销策略，提升品牌知名度和销售转化率；3. 维护客户关系，并负责新媒体平台的数据分析和报告撰写；4. 不断跟进行业和社交媒体趋势，为新媒体运营提供第一手资讯和创意点子。任职要求：1. 本科及以上学历，市场营销、新闻传媒或相关专业优先考虑；近几年有医院运营经验；2. 熟悉运用...,医院,http://jobs.zhaopin.com/CCL1219780230J40976679604.htm,20人以下,2025-12-27 09:33:37
艺术与设计主管 - 移动休闲游戏（中国）,南京,邯郸太空船信息科技有限公司,本科,10年以上,"视觉设计,舞美设计,UI设计,主案设计师,美术指导,设计经理",2.5-3万,工作地点：中国各地（混合办公） 职能：负责艺术、UI/UX 和营销创意方面的创意领导工作 汇报对象：工作室主管 / 首席产品官 关于公司：这是一家总部位于新加坡的全球领先休闲移动游戏发行商，在土耳其、白俄罗斯、爱沙尼亚均设有团队。其游戏在全球平台上的下载量已超过 5 亿次。 使命：负责休闲游戏从概念到线上运营的视觉策略和执行工作，确保我们推出的游戏美观且性能良好，能够实现大规模的转化、留存和盈利。...,游戏,http://jobs.zhaopin.com/CCL1267141030J40826166405.htm,20-99人,2025-12-23 11:38:21
资深小红书运营,南京,新视云,大专,经验不限,"视频类,文本类,直播类,小红书,抖音,微信公众号",1.8-3万,【岗位职责】1、负责小红书平台内容生产及运营工作，制定推广计划并实施执行；2、了解小红书运营模式、流程及规则，熟悉平台的运营操作规范，掌握各种营销工具的应用方法；3、结合数据分析结果，对运营效果进行评估，并提出相应改进措施；4、分析行业竞品动态，挖掘潜在机会点并进行相关策略的提出和落实。【职业要求】1、本科以上学历，有运营法律知识付费产品优先；2、2年以上工作经验，熟悉小红书平台各项运营规则和玩法...,互联网,http://jobs.zhaopin.com/CC440596310J40972662304.htm,100-299人,2025-12-09 16:47:21
软件/数字化转型板块生产负责人,南京,中核华纬工程设计研究有限公司,本科,10年以上,生产经营,2-3万,岗位职责：1.协助院长执行和落实公司发展战略及各项决策部署；2.参与制定分院的业务发展战略和业务发展目标；3.负责分院生产经营等相关工作；4.协助院长制定本部门工作计划和目标，并组织实施和落实；5.负责信息技术项目团队建设与管理，统筹做好项目管理；6.负责行业的新技术、新软件的推广与应用；7.完成领导安排的其他工作。任职要求：1.计算机或软件工程等信息类相关专业，本科及以上学历；2.具有信息技术领...,建筑设计,http://jobs.zhaopin.com/CC163032910J40905177008.htm,1000-9999人,2025-12-08 17:49:18
产品运营经理,南京,汇通达,大专,5-10年,C端用户,1.5-3万,岗位职责：1、负责品牌、产品类目的开发引进及全生命周期管理，包括渠道开发、营销、销售等规划与落地执行；2、研判市场发展及趋势，挖掘新产品的潜在机会，设计相关产品整体解决方案；3、对行业相关产品进行持续的跟踪和分析，积极主动探索未来发展方向；4、建立体系化相关产品矩阵，提升商业竞争力。任职要求：1、大专及以上学历，8年以上相关工作经验，有资深3C数码、泛智能行业项目管理经验者优先；2、逻辑性强，对复...,互联网,http://jobs.zhaopin.com/CC393677210J40741654913.htm,1000-9999人,2025-08-13 15:23:31
证券智能运营岗（需通过证从和基金从业考试）,南京,广发证券股份有限公司南京泰山路证券营业部,硕士,1-3年,"产品迭代,用户增长,活动策划",2-3万,1、负责智能运营和数据分析工作，包括需求规划、业务策划与运营管理、数据跟踪分析与用户增长等服务运营工作。2、资产包体系建设与分析工作，通过数据建模开展资产包分析和效果评估，撰写分析报告。任职要求1、硕士及以上学历，计算机、信息系统管理、金融、统计分析等相关专业；。2、具备商业数据分析或统计分析专业为主，能够熟练掌握建模及数据分析工具使用，具有一定行业经验或在金融、银行或保险等金融机构有相关运营经验...,证券/期货,http://jobs.zhaopin.com/CCL1487963640J40682393011.htm,10000人以上,2024-12-26 10:36:56
游戏QA测试（大厂包餐，base上海）,南京,武汉佰钧成技术有限责任公司,大专,1-3年,"功能测试,手游测试,MMORPG游戏",1.4-2.8万,职位描述：1. 负责Android、IOS、PC端多平台游戏产品的功能测试；2. 根据产品需求说明和设计文档，建立测试环境，合理设计测试文档（测试计划，测试用例，测试报告等）；3. 准确、详细的描述BUG产生的过程、BUG的现象，有较好的BUG定位能力；4. 跟踪测试结果，与研发团队密切配合，完成开发迭代过程；5. 能主动提出游戏的合理化修改意见，并提供改进用户体验和游戏性方面的建议 任职要求： ...,计算机软件,http://jobs.zhaopin.com/CC364485720J40830205405.htm,1000-9999人,2026-01-10 01:14:41
