职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
码头运营经理/副经理,厦门,紫金矿业集团股份有限公司,本科,5-10年,,30000-50000,工作职责：1.日常运营监督与协调：监督装卸作业全过程，跟踪船舶靠离泊计划执行情况，监控装卸效率、设备状态及堆场利用率等关键指标；2.运营体系构建与优化：全面负责码头/港口运营管理体系的搭建、完善与持续改进；3.码头运营制表以及目标的管控提升，包括经营计划以及预算编制审核以及过程控制，码头运营盈亏分析及成本管控；4.内外部协调与应急处理：统筹协调码头内部及与外部相关单位的运营协作，及时响应并高效处理...,矿产/采掘,http://jobs.zhaopin.com/CC121090500J40807941202.htm,10000人以上,2025-09-03 00:00:02,30000.0,50000.0,12.0
拼多多店群负责人（美妆个护宠物）,厦门,杭州长贤企服网络科技有限公司,大专,5-10年,"电商运营,拼多多",20000-35000,岗位概览：作为拼多多店群业务的最高负责人，对整体GMV、利润和店群健康度负责。负责制定战略、统筹资源、领导团队实现业务目标。岗位职责：1、战略规划：制定店群整体发展战略，包括店铺矩阵布局（如不同品类店、不同客单价店）、目标设定与年度/季度规划。2、运营管理：建立并优化店群运营的标准化流程，监督各店铺的日常运营、商品上架、营销活动等，确保执行质量。3、团队管理：领导运营、产品、数据团队，进行任务分配...,互联网,http://jobs.zhaopin.com/CCL1501860780J40971388104.htm,20人以下,2025-12-04 11:29:55,20000.0,35000.0,12.0
产业园运营经理,厦门,兴荣新源(厦门)科技有限公司,本科,5-10年,产业园运营,25000-30000,岗位职责:1. 负责工业园区的日常运营管理，确保园区运作高效顺畅；2. 构建和优化园区管理组织架构，设计和调整人员岗位及薪资机制；3. 组织实施园区的战略规划，提升园区整体竞争力；4.管理并优化园区运营流程，提升服务质量 ；5.定期根据公司战略要求，组织市场调查，了解市场动态，提供招商决策方案。任职要求： 1. 具备出色的组织和管理能力，能够处理多任务并解决问题 ；2. 拥有良好的沟通技巧，能够与...,新能源,http://jobs.zhaopin.com/CCL1416625980J40659526601.htm,20-99人,2025-11-17 11:11:04,25000.0,30000.0,12.0
小红书得物运营经理,厦门,厦门雅瑞光学有限公司,本科,5-10年,"小红书,得物",20000-30000,岗位职责：1、根据品牌发展需要，制定品牌在小红书、得物渠道全年/季/月度销售目标和预算；2、组织产品布局，指导并协助进行选品定价、打造爆款、维护爆款；组织挖掘产品卖点，内容+人群策划、市场推广及广告投放的完整链路；3、组织运营和日常管理，分析市场行情及竞品，及时进行运营方向调整与运营策划； 4、负责定期针对推广运营效果进行跟踪、评估，并提交推广运营效果的统计分析报表，及时提出营销改进措施，并给出切...,零售/批发,http://jobs.zhaopin.com/CC358167910J40807404307.htm,1000-9999人,2025-11-08 00:00:02,20000.0,30000.0,13.0
Tiktok运营主管,厦门,厦门正弘升光学科技有限公司,大专,3-5年,"电商运营,TIKTOK",20000-30000,1.主导TikTok店铺从0到1搭建，制定差异化运营策略。2.建立内容生产标准流程，包括选题机制、脚本模板库、剪辑质量标准。3.负责监控店铺、商品、视频等数据监测体系，分析Tiktok广告与账号数据，优化广告效果，提高广告转化率。4.团队管理：组建并培养3-5人运营团队，明确岗位分工。5.建立新人培训体系，输出岗位工作内容标准化文档。6资源整合：开发海外红人/KOC资源库，谈判年度框架合作对接Ti...,耐用消费品,http://jobs.zhaopin.com/CCL1223434890J40816214810.htm,100-299人,2025-10-29 09:35:03,20000.0,30000.0,12.0
运营经理,厦门,科华数据股份有限公司,本科,5-10年,销售运营,15000-28000,岗位职责1、风险管控，合同质量评审，合同条款合规签订管理，款项催收2、商机管理，这个就涉及面很广，主要用来做需求预测还有丢单分析业务员的市场渗透3、业务员的日常工作管理，工作饱和度管理，包括拜访，绩效等4、费用管理，费用发生的合理性真实性管理5、流程优化，是对业务流程中的环节改善提出建议6、销售赋能，包括新业务员的面试跟进，业务痛点组织培训7、业务数据整理分析，销售数据与业务员的过程指标数据,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40913067504.htm,1000-9999人,2025-05-18 17:06:01,15000.0,28000.0,14.0
新媒体运营经理,厦门,厦门小题旅行科技有限公司,本科,3-5年,"短视频平台,图文平台,小红书,微信公众号,抖音,哔哩哔哩,内容运营,短视频运营",12000-24000,【岗位职责】1、负责带领团队完成小红书、抖音等平台创意内容策划、撰稿、排版制作及日常运维等全流程工作；2、精准拆解客户需求，结合平台玩法规则与传播规律策划选题，制定可执行内容方案；3、以回端/转化思维赋能团队，主导（拉新/引导入端/留存/转化）对核心指标（增粉、曝光、互动、DAU等）负责；4、搭建业务数据看板，定期输出复盘报告；基于用户行为习惯，洞察输出优化方案；5、跨平台协同支持（含闲鱼等电商平...,广告/营销,http://jobs.zhaopin.com/CCL1381644200J40844305812.htm,500-999人,2025-10-30 11:16:44,12000.0,24000.0,12.0
运营经理（厦门）,厦门,九牧沈阳运营中心,本科,5-10年,,12000-24000,岗位职责1. 策略落地与拆解：目标承接，将公司战略转化为可执行的运营计划，制定阶段性目标。路径设计，设计关键业务链路明确各环节优化策略，资源调配。2. 流程优化：建立标准化业务流程痛点解决，识别业务瓶颈推动流程再造，工具赋能。3. 数据业绩管理：指标管理，设定核心KPI监控体系实时追踪业务健康度。通过数据分析定位问题根因，基于数据反馈调整策略。岗位要求：有卫浴行业背景，产品或渠道相关工作。5年以上...,房地产开发,http://jobs.zhaopin.com/CC540698430J40768166910.htm,100-299人,2025-10-10 10:13:25,12000.0,24000.0,12.0
内容运营【核心培养方向】,厦门,厦门浪起文化科技有限公司,本科,经验不限,"视频类,抖音",12000-22000,浪起，全国头部教育电商公司。公司代表性抖音账号：【小学数学张老师】-500万粉丝，抖音教育赛道TOP1。晋升路径：管理/专家双线可选，为晋升带来更多可能性固定调薪：每年固定1-2次调薪&晋升机会入职即缴五险一金，岗位base在厦门【岗位职责】1. 负责视频号的短视频账号运营落地执行；2. 关注视频号流量动态，了解平台和竞品市场变化，深度挖掘用户对内容的需求；3、完成脚本创意、拍摄、剪辑、发布、数据...,电子商务,http://jobs.zhaopin.com/CC843289540J40749605509.htm,500-999人,2025-06-25 11:22:47,12000.0,22000.0,12.0
连锁运营经理,厦门,欢鹿信息技术有限公司,大专,5-10年,"连锁门店,游戏运营,门店运营",12000-20000,岗位职责：1.根据公司的战略规划，制定运营中心年度工作规划和计划，并监督实施，确保实现公司的年度发展目标；2.建立并完善公司各项运营管理制度、工作规范及行为准则、流程及相应管理办法，不断规范公司的运营管理体系，实现制度化、流程化、专业化、标准化体系；3.根据公司整体发展战略，组织制定公司的运营战略及实施计划，指导管辖部门工作和计划任务的完成，并督促、检查进度，完成公司的营业额指标和利润目标；4.统...,互联网,http://jobs.zhaopin.com/CC885921740J40772280701.htm,100-299人,2026-01-10 09:43:25,12000.0,20000.0,12.0
