职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
四川分公司总编辑,成都,央视国际网络有限公司,本科,10年以上,,5-6万,岗位使命以习近平新时代中国特色社会主义思想为指导，把准舆论导向，紧跟互联网行业发展趋势。科学调整分公司频道布局与内容建设，统筹宣传报道、内容管理和信息安全工作，着力提升所在区域内容竞争力、媒体影响力与品牌形象，确保内容建设服务国家利益，推动传播效果持续优化 。岗位职责一、内容编辑1.深入研究报道规划：带领团队深入研究分公司区域频道的宣传报道规划和策略。2.制定全面宣传方案：明确宣传活动的时间、地点...,互联网,http://jobs.zhaopin.com/CC138910710J40760823314.htm,1000-9999人,2026-01-06 01:37:36
采编经理,成都,海思科医药,本科,5-10年,"英语,职场类,健康类,品牌文案,公关文案,宣传稿,原创撰稿,策划选题,审稿改稿",3-4.5万,岗位职责:1.建立跨部门信息采集与协同机制，联动质量、法务、业务等部门，确保信息来源全面、准确；在突发事件中牵头组织信息对接与内容整合，保障决策一致性与执行效率；2.制定并执行全平台（官网、媒体、社交媒体）内容发布标准与审核流程；统一管理对外信息文本、视觉与传播调性，防范信息偏差引发的公众误解；3.规划并执行信息发布节奏，匹配不同渠道特点，提升传播响应速度；把握关键传播窗口期，确保企业重要动态及时...,医药制造,http://jobs.zhaopin.com/CC472494920J40835497814.htm,1000-9999人,2026-01-07 09:49:16
新媒体运营经理,成都,成都嘉合二手车销售有限公司,学历不限,3-5年,"短视频平台,抖音,微信视频号,汽车类,短视频运营,内容运营,直播运营",2-4万,您好，我们是成都嘉合 专营品质精品二手车抖音名字：嘉合二手车（鄢老板）我们有精准粉丝群体和超高转化率！工作职责：1、制定符合公司的新媒体整体战略，统筹全平台内容规划与执行节奏。2、负责抖音（主要）、小红书、微信视频号等核心流量平台的账号运营与内容优化，提升品牌曝光与线索获取效率。3、负责管理新媒体部门（主播、拍摄、剪辑、客服、邀约等人员）。4、建立数据监测体系，通过用户行为分析迭代运营策略，提升内...,零售/批发,http://jobs.zhaopin.com/CC406820530J40979397904.htm,20-99人,2026-01-10 14:13:17
新媒体运营主管,成都,成都高新大韩原辰医疗美容门诊部有限公司,大专,3-5年,"短视频平台,图文平台,微信公众号,小红书,快手,短视频运营",2.5-4万,岗位职责：1、负责企业小红书自媒体的内容创意、策划、审核，打造新媒体矩阵，吸引粉丝进行转化，提升帐号形象和业绩，并跟踪推广效果;2、挖掘素材，结合产品运营内容，创作噱头，做好宣传3、制定并执行每月的新媒体传播规划，包括平台的视频图文等创意内容，确保内容持续输出与优化;4、负责新媒体相关内容、选题、执行、出稿等整体规划和运营管理，把握整体风格和方向;5、关注竞品及医美行业营销动态，结合品牌项目营销节...,美发/美容/保健,http://jobs.zhaopin.com/CCL1373419080J40387124911.htm,20-99人,2025-11-13 12:07:50
新媒体推广专员,成都,四川大鱼印象文化传媒有限公司,学历不限,经验不限,"直播运营,短视频运营",100-200元/时,主要协助我们老师做一些新媒体的日常推广工作，工作简单轻松，工资日结或周结，月均收入4000-8000,新媒体,http://jobs.zhaopin.com/CCL1515683790J40865057203.htm,20-99人,2025-12-27 10:40:33
运营兼职,成都,深圳市远近模特经纪有限公司,学历不限,经验不限,,100-200元/时,小红书/抖音/快手等平台内容发布【岗位内容】根据公司提供的素材，在平台发布帖子并后台回复私信，文案图文会提供。在家办公，工作期间不需要到公司来。【岗位要求】时间灵活，性格踏实，在校读书的大学生优先，不需要到公司面试。【薪资】日结兼职，每发布一条笔记，或者后台私信有目标客户咨询推微信过来，都有薪资结算。,广播/影视,http://jobs.zhaopin.com/CC468449720J40797053101.htm,100-299人,2025-12-25 10:59:30
新媒体运营负责人（15~30k),成都,四川聚仁创新科技集团有限公司,大专,3-5年,"团队管理经验,专业拍摄,教育培训,矩阵营销,直播运营",1.5-3万,【岗位职责】：1、了解市场终端运营管理模式，最好两年以上家居及建材企业市场营销经验；2、整理分析线下门店业务形态和线下直播各参与方需求，搭建线下门店经营与线上直播融合的业务模式；3、协助主动营销不断探索研究新媒体营销模式及课程开发，总结提炼成可复制可推广的点将模式产品；4、带动营销和门店团队一起玩儿新媒体，配合活动节奏利用新媒体引流，最后直播辅助活动落地；5、负责门店直播的人员培训、直播质量把控、...,零售/批发,http://jobs.zhaopin.com/CCL1364739410J40389569603.htm,300-499人,2026-01-05 16:55:37
高薪诚聘“内容合伙人”（非执行岗）| 负责抖音/小红书从0-1 | 对粉丝与客资结果负责,成都,四川鑫利鑫达建材有限公司,大专,5-10年,"小红书,抖音",2-3万,一、我们是谁： 润五和馆，一个专注于亚健康及慢性病中式调理的专业品牌。我们相信真正的健康源于平衡与调理。 二、我们需要你做什么： 作为我们的“外部内容合伙人”，全权负责品牌IP在抖音、小红书等平台的内容战略与执行。你的核心KPI是在3-6个月内，帮助IP矩阵粉丝增长至5-20万，并获取200-800个高质量付费咨询线索。 三、我们需要的核心能力： 1、深度内容能力：能理解中医养生专业知识，并转化为,房地产开发,http://jobs.zhaopin.com/CC887325510J40853296713.htm,20-99人,2026-01-04 15:09:34
新媒体运营日结兼职,成都,深圳市远近模特经纪有限公司,学历不限,经验不限,,100-200元/时,1、职位信息工作平台:快手/抖音/小红书工作具体内容:编辑图片/视频工作要求:每天1-3条，时间自由，按单提成制，多劳多得2、薪资详情薪资范围:2000-10000薪资结构:提成结算方式:月结3、收费情况是否收费:否收费项目(如有):否收费标准(如有):否,广播/影视,http://jobs.zhaopin.com/CC468449720J40797063301.htm,100-299人,2025-12-25 10:59:06
抖音自媒体运营经理,成都,纵横医药(成都)有限公司,大专,3-5年,"短视频平台,图文平台,小红书,抖音,快手,医疗类,内容运营,短视频运营,用户运营",2-3万,1.负责抖音、小红书、微信公众号等平台的内容策划与运营，从选题、创作到发布、互动，全流程把控内容质量，打造符合我司调性的爆款内容2.跟踪平台热点与行业动态，快速响应并寻找客户资源3.熟练的使用剪映，PS等工具进行视频剪辑，图文设计，独立完成内容产出4.定期分析运营数据，优化内容策略，根据数据反馈调整运营方向，对最终效果负责5.负责账号从0到1的全流程搭建，包括定位策划、内容体系搭建、账号包装，符合...,医院,http://jobs.zhaopin.com/CCL1496950630J40737902406.htm,500-999人,2025-12-04 15:28:23
长音频内容运营负责人,成都,咪咕,本科,3-5年,"视频类,音频类,抖音,快手,知乎",面议,工作职责1. 基于集团战略目标，结合长音频（如听书播客）行业发展趋势，牵头制定业5年中长期运营战略及年度实施计划，明确“内容差异化、运营精细化、商业多元化” 核心方向，主导搭建 “平台、内容、运营、商业” 四位一体运营体系。2. 拆解分阶段核心目标：按季度拆解用户（新增、活跃、留存）、内容（版权储备量、原创节目产出、爆款率）、营收（会员收入、广告收入、IP 衍生收入）等维度指标，形成可执行的团队任...,互联网,http://jobs.zhaopin.com/CC711333420J40826514805.htm,1000-9999人,2025-11-14 14:52:17
珠宝新媒体运营经理,成都,成都溱湖商业管理有限公司,本科,1-3年,,2-3万,岗位内容：1. 执行公司新媒体推广策略，及时更新各个社交媒体平台的内容和互动，提升社交媒体品牌影响力；2. 关注市场和行业趋势，了解消费者心理需求，提出创意方案和运营建议，促进销售增长；3. 负责社交媒体平台的日常维护、数据分析和报告输出，反馈内容改进意见和提升策略；4. 协助其他部门完成相关工作。任职要求：1. 热爱新媒体和数字营销，对社交媒体有浓厚兴趣；2. 本科及以上学历，具有1年以上新媒体...,零售/批发,http://jobs.zhaopin.com/CCL1465359180J40900385115.htm,300-499人,2025-11-04 10:23:04
医疗新媒体运营经理,成都,纵横医药(成都)有限公司,大专,3-5年,"短视频平台,抖音,快手,微信视频号,医疗类,短视频运营,内容运营,用户运营",2-3万,1.负责抖音、小红书、微信公众号等平台的内容策划与运营，从选题、创作到发布、互动，全流程把控内容质量，打造符合我司调性的爆款内容2.跟踪平台热点与行业动态，快速响应并寻找客户资源3.熟练的使用剪映，PS等工具进行视频剪辑，图文设计，独立完成内容产出4.定期分析运营数据，优化内容策略，根据数据反馈调整运营方向，对最终效果负责5.负责账号从0到1的全流程搭建，包括定位策划、内容体系搭建、账号包装，符合...,医院,http://jobs.zhaopin.com/CCL1496950630J40737904406.htm,500-999人,2025-12-04 15:26:55
小红书运营,成都,常州缪幻商贸有限公司,学历不限,经验不限,"图文平台,小红书,电商运营,内容运营",100-150元/时,1.小红书店铺运营，笔记发布，日常工作编辑，发布。2小红书笔记产品，产品发布。3.能认真对待。,电子商务,http://jobs.zhaopin.com/CCL1511490180J40891963802.htm,100-299人,2025-12-29 17:55:07
