职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
Ai大模型工程师,北京,书生电子,硕士,3-5年,"大模型算法,GPT,PyTorch,搜索/推荐算法,Python",120000-200000,岗位职责： 前沿算法研究与技术创新：负责人工智能领域前沿算法研究和创新，重点聚焦LLM、生成式AI、时序类大模型等，探索人类反馈强化学习、MoE、多模态、long-context等方向。 模型微调与优化：负责对大语言模型（LLM）进行领域适配微调（如LoRA、P-Tuning等），提升模型在特定任务（如对话、文本生成等）上的性能。 数据处理与构建：清洗、标注和构建高质量的微调数据集，设计数据增强策...,计算机软件,http://jobs.zhaopin.com/CC244040410J40814235808.htm,100-299人,2025-07-22 16:42:25,120000.0,200000.0,12.0
算法工程师,北京,北京莱维塞尔科技有限公司,硕士,经验不限,"推荐算法,定位算法,机器人算法,算法研究,运动控制算法",100000-150000,岗位职责：● 新能源领域算法模型研究，优化现有算法，提高模型性能● 机器学习、运筹学领域的研发工作● 时间序列数据的分析和预测相关工作● 利用机器学习算法进行数据分析和模型训练● 与业务、产品团队密切合作，支撑支持数据业务岗位基本需求：● 硕士及以上学历应届生，数学、统计学、控制学相关专业优先，其他理工科专业成绩优异者● 熟练掌握机器学习、运筹学领域的典型算法，包括但不限于数据降维、特征提取、分类...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC189974710J40491639306.htm,100-299人,2025-11-16 00:01:22,100000.0,150000.0,12.0
区块链技术总监,北京,中家盟(北京)企业管理服务有限公司,本科,3-5年,,60000-120000,公司简介： 本公司是养老事业与养老产业、家政产业的高科技领军企业，一家处于筹备上市阶段的科技型平台公司。运用新一代数智科技特别是区块链技术、AI技术来推动传统养老产业、家政产业数智化转型升级。我们将是养老产业、家政产业的“滴滴+京东”，我们有国家级政府背景、有央企背景、有自主研发的大量知识产权等。我们正走在公司上市进程的路上，计划2-3年完成公司上市，将有可能成为中国养老产业、家政产业的独角兽上市...,区块链,http://jobs.zhaopin.com/CC690100920J40901034704.htm,20-99人,2025-11-11 18:33:43,60000.0,120000.0,13.0
研发总监,北京,瑞纳智能设备股份有限公司,硕士,3-5年,,100000-120000,职位概述我们正在寻找一位在具身智能（Embodied AI）和机器人领域经验丰富的研发总监，负责领导团队突破机器人感知、决策、控制与交互的核心技术，推动具身智能机器人在工业自动化领域的商业化落地。您将统筹技术战略、团队管理与跨部门协作，打造下一代智能机器人产品。核心职责技术战略与研发制定具身智能机器人的技术路线图，主导多模态感知（视觉、触觉、语音等）、运动控制、自主决策、人机交互等核心算法的研发与...,仪器仪表制造,http://jobs.zhaopin.com/CC387097720J40748810809.htm,500-999人,2025-06-23 14:39:21,100000.0,120000.0,12.0
高级算法研究员,北京,锐仕方达人才科技集团有限公司,硕士,1-3年,"深度学习,多模态算法,大模型算法,Transformer,自然语言处理,知识图谱,TensorFlow,PyTorch,C++,Python",50000-100000,招聘岗位：高级算法研究员汇报对象： 技术合伙人 / CTO工作地点： 北京市朝阳区航空科技大厦13层岗位职责：1、基于多源异构金融数据（交易数据、新闻舆情、财务报表等），完成从数据预处理到模型设计、训练、评估与部署的全流程；2、与团队协同，构建具备实用价值的金融决策模型，并持续优化与迭代；3、跟踪AI及量化投资领域最新研究成果，推动前沿算法在实际业务中的应用落地。任职要求：1、深厚的深度学习建模能...,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40820719914.htm,1000-9999人,2025-11-12 10:53:29,50000.0,100000.0,12.0
中国旅游集团旅行服务有限公司科技信息部副总经理,北京,中国旅游集团旅行服务有限公司,本科,5-10年,,55000-100000,"工作分工 协助部门总经理分管运维综合室及相关工作。 建设规划 1、依照集团信息化战略和事业群数字化转型规划，协助总经理制定信息化、数字化相关规划,建立和修订信息化制度。2、依照事业群数字化转型规划和年度工作计划，组织制定信息化年度预算。3、负责基础架构建设工作。协助总经理规划和管理平台建设和运维工作，确保系统、网络建设和信息安全工作。4、协助部门信息化、数字化转型建设工作； 团队建设 1、指导分管...",旅游服务,http://jobs.zhaopin.com/CC120719410J40899521415.htm,500-999人,2025-10-30 17:08:35,55000.0,100000.0,12.0
AI算法Leader,北京,字节跳动,本科,5-10年,,80000-100000,岗位职责：1、带领团队统筹模型的全流程工作，包括但不限于数据、训练、评测、推理部署，保证数据的高质量和有效性； 2、主导LLM算法应用研究与落地实践，密切关注LLM领域的前沿技术动态，包括语言LLM、多模态LLM，Prompt工程/RAG/Agents/SFT/RLHF等最新研究成果；3、带领团队开展创新性的应用研究，将前沿技术转化为实际生产力，为公司产品和业务提供技术优势；4、积极与业务部门沟通...,互联网,http://jobs.zhaopin.com/CC469217510J40676078401.htm,10000人以上,2025-10-27 19:19:32,80000.0,100000.0,12.0
图像算法主管,北京,辉煌科技,本科,5-10年,"OpenCV,PyTorch",50000-100000,技能要求：1、具备扎实的图像处理和算法基础，掌握学习算法，熟练使用opencv、pytorch工具；2、掌握分类、检测、分类、跟踪等深度学习算法，并熟练应用；对transformer、DINO有一定理解，具有网络修改及优化能力；3、模型量化、剪枝、蒸馏方法掌握熟练，对半监督/自监督训练有应用经验；4、熟悉大模型技术，对图像大模型、多模态大模型技术有应用且熟练；熟悉AIGC技术及相关模型和工具的使用...,通信/网络设备,http://jobs.zhaopin.com/CC138093480J40828589213.htm,500-999人,2025-09-25 11:34:57,50000.0,100000.0,13.0
高级人工智能专家（海油正式编制）(J10080),北京,天津北海油人力资源咨询服务有限公司,本科,10年以上,"Python,C++,Java",80000-100000,岗位职责:1.具备数据处理和特征工程经验，能够处理和清洗数据，进行特征选择、转换和提取，处理缺失值和异常值；2.具备模型训练和优化经验，了解模型训练的基本流程，包括数据集划分、超参数选择、模型调优等，掌握模型优化技术如正则化、批标准化、学习率调整等；3.熟悉大规模计算和并行处理技术，能够在分布式环境中进行高效的模型训练；4.熟悉模型评估指标和技术，能够进行模型性能评估和调优，如交叉验证、网格搜索、...,人力资源服务,http://jobs.zhaopin.com/CC644737230J40789430801.htm,1000-9999人,2025-09-18 15:52:11,80000.0,100000.0,12.0
OS架构设计师,北京,字节跳动,本科,5-10年,,50000-100000,岗位职责：1、负责OS关键领域的需求分析和系统方案设计；2、负责相关领域的产品分析研究及技术竞争力规划；3、跨领域组织团队进行重大项目或技术的攻关落地，确保技术产出符合规划。任职要求：1、本科及以上学历，计算机相关专业，5年以上架构设计经验；2、精通Android框架，具备较强的软件架构设计能力，涉及系统底层、UI框架、图形显示、APP多层次模块；3、对Android一个或多个领域有深厚的研发背景...,互联网,http://jobs.zhaopin.com/CC469217510J40676077201.htm,10000人以上,2025-10-22 16:09:25,50000.0,100000.0,12.0
技术负责人,北京,坤电创新科技(山西)有限公司,硕士,10年以上,,50000-100000,【要求简历完整】技术负责人（知名公司的新业务线技术负责人）工作内容：地点：北京1、企业级架构设计能力+全栈能力+能hands-on写代码，关键词：Linux，C++/Python/Go，Mysql，Clickhouse；2、重点院校硕士及以上学历，计算机、电子、自动化等专业，或自认有同等基本能力，3年及以上互联网、计算机相关从业经验；3、沟通能力强，有着良好的业务Sense，注重团队合作精神；4、...,新能源,http://jobs.zhaopin.com/CCL1486691070J40829363903.htm,20-99人,2025-09-01 11:27:23,50000.0,100000.0,16.0
高级AI大模型工程师,北京,书生电子,硕士,5-10年,"大模型算法,GPT,PyTorch,Python,探索/推荐算法",50000-100000,岗位职责： 前沿算法研究与技术创新：负责人工智能领域前沿算法研究和创新，重点聚焦LLM、生成式AI、时序类大模型等，探索人类反馈强化学习、MoE、多模态、long-context等方向。 模型微调与优化：负责对大语言模型（LLM）进行领域适配微调（如LoRA、P-Tuning等），提升模型在特定任务（如对话、文本生成等）上的性能。 数据处理与构建：清洗、标注和构建高质量的微调数据集，设计数据增强策...,计算机软件,http://jobs.zhaopin.com/CC244040410J40826355008.htm,100-299人,2025-08-14 17:56:54,50000.0,100000.0,12.0
AI大模型训练专家(A142920),北京,捷安高科,硕士,10年以上,"框架,微调,训练",80000-100000,职位描述： 1. 战略规划与技术攻坚 - 负责垂类大模型技术战略制定，包括模型训练调优、平台架构设计、应用场景创新（如AI Agent、智能外呼）。 - 主导核心技术突破，如异构计算优化、多模态模型融合、推理性能提升等。 2. 团队管理与项目落地 - 搭建并管理AI技术团队，统筹大模型训练、平台开发、应用落地的全流程项目交付。 - 深入业务场景（如云计算服务、数据分析工具），设计端到端解决方案并打...,计算机软件,http://jobs.zhaopin.com/CC219039210J40816915715.htm,500-999人,2025-03-05 13:15:53,80000.0,100000.0,12.0
大模型技术领军人（团队负责人）,北京,中译语通,博士,3-5年,"机器学习,大模型算法",65000-90000,工作职责：1.主导大模型（LLM、CV、多模态、时序等主流大模型）智能体或RAG等关键技术的训练框架设计、分布式训练优化及推理加速技术研发。2.负责模型压缩（量化、剪枝）、低资源推理（边缘计算/端侧部署）及性能调优，提升模型效率与成本收益。3.搭建高可用训练基础设施（如GPU集群管理、分布式训练框架开发），解决超大规模数据并行与模型并行的技术难题。4.作为核心骨干配合国家省部级项目申报、建设和交付...,互联网,http://jobs.zhaopin.com/CC457216910J40779612116.htm,500-999人,2025-12-09 10:01:24,65000.0,90000.0,12.0
大模型技术专家,北京,歌尔股份,硕士,5-10年,大模型算法,60000-90000,工作职责1. 负责制定大语言模型方向的技术战略与演进路线，持续带领团队在算法创新、系统部署、智能体架构等关键方向取得突破； 2. 全面统筹垂域大语言模型的研发、评估与部署生命周期，推动算法与系统能力的标准化、模块化和可复用建设； 3. 牵头在研发、制造、品质、供应链、财经、人力及办公智能等核心领域构建智能体系统，重构关键业务流程，推动大语言模型的深度融合与落地应用； 4. 主导复杂业务问题的抽象建...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC132726540J40734229506.htm,10000人以上,2025-11-17 18:14:25,60000.0,90000.0,12.0
