职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
网络合伙运营团队,成都,四川都睿感控科技有限公司,大专,5-10年,"网络销售,渠道销售,代理商销售",50000-99000,职位描述公司主要经营：1、传感器（电量、开关量）；2、无人值守系统平台软硬件；3、检测装置等，网站：https://www.scdrgkprj.com/cn/cn.html岗位职责描述：1、通过网络运营，助力公司网络运营销售，实行利润或销售额分成，团队具备深厚的销售推广经验及相应能力；2、具有较强客户维护能力，可以进行行业高层客户关系开发与维护工作；3、拥有销售团队建设管理能力，具备较高市场开拓及...,工业自动化,http://jobs.zhaopin.com/CC478318480J40834293414.htm,20-99人,2026-01-01 12:33:28,50000.0,99000.0,12.0
资深产品专家（公卫应急）,成都,成都某信息通信科技公司（央企）,硕士,5-10年,资深产品专家（公卫应急）,40000-80000,岗位职责：1、牵头负责急救中心、医院、疾控等公卫应急行业政策分析研判，深入市场需求调研，形成产品行业洞察报告；2、负责公卫应急产品的平台和应用产品的定义、功能和架构设计，负责产品生命周期管理。推动研发团队开展自主产品研发；3、负责落实集团和公司产品总体发展战略，开展产品的中长期规划设计，开展竞品对标分析，形成分析报告，指导产品和解决方案打造；4、负责产品商业模式规划设计，市场推广策略的制定和执行，...,互联网,http://jobs.zhaopin.com/CCL1318355140J40788798403.htm,500-999人,2025-11-04 09:46:12,40000.0,80000.0,12.0
运营总监,成都,昌都市卡若区明珠物业服务有限公司,本科,3-5年,"销售运营,产品运营",40000-80000,岗位内容：1. 制定和执行公司运营策略，实现业务增长和盈利目标2. 分析市场和用户需求，优化产品和服务的特性和差异性3. 挖掘和引入新的运营模式和流程，提高效率和降低成本4. 合理规划并管理预算，确保预算使用的高效5. 协调各部门和团队间的合作，保证工作流程的顺畅和高效任职要求：1. 熟练掌握市场和流程管理的基本原则和理论2.具有丰富的团队管理和协调能力，擅长解决复杂问题3.拥有扎实的数据分析和业...,景区/商业/市场等综合管理,http://jobs.zhaopin.com/CCL1491575820J40733548807.htm,20-99人,2025-08-09 09:07:43,40000.0,80000.0,12.0
k12大班课运营经理,成都,成都市锦江区朴新树才晨辉教育培训学校有限公司,大专,3-5年,toC,30000-50000,主要负责大班课运营管理【公司优势】（不限专业、不限教资）1、集团公司，安全感强，中高层均有10年以上行业经验，体系完善，口碑良好，生源稳定；2、人性化管理：拒绝加班3、员工子女可享受优惠或免费课程;4、工作氛围好、管理人性化，无官僚主义。工作职责：1：负责成都各校区的日常运营与销售工作，根据公司经营目标制定运营计划完成年度业绩指标2：迭代班课运营体系的sop流程，并指挥贯彻执行3：搭建运营团队结构...,培训/辅导服务,http://jobs.zhaopin.com/CC890754450J40848961002.htm,100-299人,2025-10-30 15:15:16,30000.0,50000.0,12.0
全国酒类运营总监,成都,成都五商供应链管理有限责任公司,本科,10年以上,"销售运营,产品运营,消费品",25000-50000,1. 全面负责200 - 300价位段浓香白酒品牌的全国运营工作，制定清晰、切实可行的品牌运营战略与年度经营计划，确保品牌在市场中实现持续增长与盈利目标。2. 深入研究市场动态、消费者需求及竞品情况，独立策划极具创新性与竞争力的市场营销方案，涵盖品牌推广、渠道拓展、活动策划等多个维度，有效提升品牌知名度与市场占有率。3. 精心制定宴席政策，深度挖掘宴席市场潜力，通过精准的营销策略与优惠政策，吸引消...,零售/批发,http://jobs.zhaopin.com/CC881961700J40744437909.htm,20-99人,2025-08-11 11:07:31,25000.0,50000.0,12.0
产品专员无责任底薪5000+提成+奖金,成都,四川大决策证券投资顾问有限公司,大专,经验不限,证券从业资格证,20000-40000,岗位职责：1、公司提供大量精准需求的目标客户；2、为客户提供证券投顾课程咨询；3、根据客户需求，为客户提供专业知识咨询服务。任职要求：1、通过证券行业专业人员水平评价测试2、有金融相关工作经验优先3、为人正直诚实具有良好的职业道德，无违法犯罪记录4、有良好的语言沟通能力，具有良好的心理素质。在这里，你能享受：一、薪资待遇：无责底薪5000元/月+奖金+现金奖励+高额提成+开单奖+大单奖+排名奖+个...,证券/期货,http://jobs.zhaopin.com/CC403797110J40682221605.htm,300-499人,2026-01-11 00:08:41,20000.0,40000.0,12.0
新媒体运营经理,成都,成都嘉合二手车销售有限公司,学历不限,3-5年,"短视频平台,抖音,微信视频号,汽车类,短视频运营,内容运营,直播运营",20000-40000,您好，我们是成都嘉合 专营品质精品二手车抖音名字：嘉合二手车（鄢老板）我们有精准粉丝群体和超高转化率！工作职责：1、制定符合公司的新媒体整体战略，统筹全平台内容规划与执行节奏。2、负责抖音（主要）、小红书、微信视频号等核心流量平台的账号运营与内容优化，提升品牌曝光与线索获取效率。3、负责管理新媒体部门（主播、拍摄、剪辑、客服、邀约等人员）。4、建立数据监测体系，通过用户行为分析迭代运营策略，提升内...,零售/批发,http://jobs.zhaopin.com/CC406820530J40979397904.htm,20-99人,2026-01-10 14:13:17,20000.0,40000.0,12.0
运营经理（医美及私密）,成都,成都锦江仁济康和盆底康复门诊部有限公司,大专,5-10年,"门店运营,toC,数据运营,用户运营,产品运营",20000-40000,岗位职责：1、医美及私密科室运营流程体系构建与优化，全流程梳理与诊断，标准化体系建设，跨科室协同机制建立；2、医美及私密运营效能提升与业绩推进，包括绩效管理体系搭建，数据分析与洞察，服务质量监控与提升；3、成本管控与预算管理：各科室成本核算与分析，预算编制与执行监控；4、团队协作与制度建设：作为运营核心枢纽，高效协调市场、销售、医疗、护理等职能部门，确保运营策略有效落地。5、培训与宣导：组织针对新...,卫生服务,http://jobs.zhaopin.com/CC868596950J40979279904.htm,20-99人,2026-01-09 16:19:42,20000.0,40000.0,12.0
康养运营经理,成都,中国平安人寿保险股份有限公司四川分公司4,本科,5-10年,"销售运营,产品运营,用户运营",20000-40000,【康养中心运营经理】1、有医院、养老院、康复中心、体检机构等立项至筹备开业运营经验。2、有卫生系统（卫生局、卫健委）、高端养老等沟通对接经验，熟悉海内外康养运营模式优先。,保险,http://jobs.zhaopin.com/CCL1478998570J40746430606.htm,10000人以上,2026-01-09 09:03:38,20000.0,40000.0,12.0
电商策略负责人,成都,天津才智企业管理咨询有限责任公司,本科,1-3年,"销售策略,营销策略,平台策略,投放策略,商家治理",25000-40000,1. 团队与业务管理：负责约百人规模的电商生态治理团队，包括策略运营、规则运营、数据分析等职能的日常管理、梯队建设与绩效提升，对团队整体产出服务与业务侧治理目标负责。2. 生态治理策略规划与落地：配合产品团队完成电商平台的行业治理与生态健康体系建设。了解电商治理推荐全流程，具备深度分析负向反馈、业务数据与典型案例的能力，精准定义风险特征，具备针对治理目标拆解核心指标及制定有效策略的能力，并可以持续...,电子商务,http://jobs.zhaopin.com/CC486767080J40914917015.htm,500-999人,2026-01-09 01:43:42,25000.0,40000.0,15.0
内容安全产品运营-商业生态与安全,成都,字节跳动,本科,3-5年,,20000-40000,岗位职责：1、负责产品运营工作，理解产品和业务场景，面向电商内容安全业务提供相关产品能力支持，助力业务目标达成与发展；2、与内部各业务建立良好的协作关系，及时跟进和收集相关业务需求，搭建相关需求运营机制；3、基于数据驱动制定产品运营指标，结合AI及行业前沿推动产品改进及运营策略优化，提升运营效率和平台产品的使用体验；4、负责跟进不同业务的产品需求，搭建一站式解决方案，打造标杆案例及产品推广和培训体...,互联网,http://jobs.zhaopin.com/CC469217510J40819464001.htm,10000人以上,2026-01-08 14:57:36,20000.0,40000.0,12.0
2026-5G/NTN产品管理,成都,鼎桥技术有限公司,本科,5-10年,网络产品,20000-40000,岗位职责:1、产品/解决方案规划：负责5G/NTN产品的方案规划、立项，以及产品的投资组合管理；2、市场洞察：负责行业洞察，友商竞争分析，客户分析，应用场景分析； 3、需求管理：负责网络产品需求分析，支撑销售市场拓展。任职要求:1、工作经验要求：在通信行业，5G、NTN等相关工作岗位上不低于5年工作经验，从事过产品经理、战略规划岗位者优先； 2、熟悉网络通信产品的行业需求，掌握业界友商的产品优劣势...,通信/网络设备,http://jobs.zhaopin.com/CCL1511150630J40834618614.htm,1000-9999人,2026-01-04 13:48:02,20000.0,40000.0,16.0
产品经理,成都,四川仙潭老潭酒销售有限公司,本科,5-10年,,20000-40000,工作职责:1、主导潮玩产品全生命周期管理，制定年度产品线规划及品类拓展战略；2、构建市场数据模型，完成消费者洞察、竞品分析及趋势预判，驱动产品创新决策。3、统筹新品开发全流程，搭建涵盖IP联名、原创设计、工艺研发的产品矩阵；4、主导跨部门协作（设计/供应链/营销），制定项目甘特图并推进关键节点落地；5、建立产品开发标准化体系，优化从概念提案到量产上市的全链路效率。6、编制产品开发预算模型，平衡创意...,零售/批发,http://jobs.zhaopin.com/CCL1447732530J40906619704.htm,300-499人,2025-12-19 13:12:32,20000.0,40000.0,12.0
大模型训练（今日头条）-CQC,成都,字节跳动,本科,经验不限,,20000-40000,岗位职责：1、支持今日头条业务安全策略模型结构设计、模型数据建设、模型训练迭代、模型效果评估等全链路工作，保证业务需求稳定交付；2、深入了解业务需求及流程链路，与组内同学、业务团队密切协作，根据业务指标、用户反馈等信息持续挖掘模型能力及策略优化空间，设计模型方案并保证高效高质落地；3、熟练掌握模型训练方式和应用场景，从解决业务痛点出发灵活运用大模型方法，不断提升模型训练及业务应用效果；4、制定、更...,互联网,http://jobs.zhaopin.com/CC469217510J40793598501.htm,10000人以上,2025-12-30 17:32:52,20000.0,40000.0,12.0
产品经理,成都,成都中航华测科技有限公司,大专,3-5年,,20000-40000,岗位职责1．跟进JG企业级客户，进行商务上对接与拓展，建立与需求部门客户线的良好关系；2．跟进相关项目，完成项目从起始到落地的流程梳理，保证项目的平稳推进；3．与技术团队配合，准确把握时间节点，根据项目进度及客户要求及时安排好技术汇报、交流工作；4．配合技术团队完成必要的项目论证文档、技术方案文档的编写；5．和上级、部门保持沟通，及时反馈问题，共同达成部门目标；6．和客户保持长期的联系，及时挖掘并...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC378099080J40856318703.htm,100-299人,2025-11-14 17:03:27,20000.0,40000.0,13.0
会员产品负责人,成都,咪咕,硕士,5-10年,商业化产品,,【岗位职责】1、负责咪咕音乐会员产品规划，整体统筹音乐会员体系、业务规划、运营策略；2、根据业务发展要求，积极研究会员产品的使用场景，结合用户需求和业务发展方向，规划内容付费类产品的发展方向、功能范围及信息结构和交互体验；3、与团队配合完成产品方案需求，以及后续的功能迭代规划的输出，与技术团队紧密配合，负责监控，推进项目实施直至测试上线；4、通过数据分析和用户调研进行用户分层，搭建会员营销体系，根...,互联网,http://jobs.zhaopin.com/CC711333420J40826515705.htm,1000-9999人,2025-11-14 14:54:10,,,
新媒体运营主管,成都,成都高新大韩原辰医疗美容门诊部有限公司,大专,3-5年,"短视频平台,图文平台,微信公众号,小红书,快手,短视频运营",25000-40000,岗位职责：1、负责企业小红书自媒体的内容创意、策划、审核，打造新媒体矩阵，吸引粉丝进行转化，提升帐号形象和业绩，并跟踪推广效果;2、挖掘素材，结合产品运营内容，创作噱头，做好宣传3、制定并执行每月的新媒体传播规划，包括平台的视频图文等创意内容，确保内容持续输出与优化;4、负责新媒体相关内容、选题、执行、出稿等整体规划和运营管理，把握整体风格和方向;5、关注竞品及医美行业营销动态，结合品牌项目营销节...,美发/美容/保健,http://jobs.zhaopin.com/CCL1373419080J40387124911.htm,20-99人,2025-11-13 12:07:50,25000.0,40000.0,12.0
运营经理,成都,港铁商业管理(成都)有限公司,本科,10年以上,门店运营,20000-40000,岗位职责： 1. 负责搭建轨道商业运营管理体系，建立标准化运营管理流程。 2. 负责指导下属合资公司的运营管理工作。 3. 全面负责中国内地车站商业项目日常运营管理，密切跟踪项目进度，及时发现并解决项目推进过程中的问题与风险，确保项目按计划有序进行。 4. 建立有效的项目监控机制，定期收集、分析项目相关数据，通过与项目计划对比，精准评估项目绩效，及时调整项目策略和资源分配，保障项目目标的达成。 5...,咨询服务,http://jobs.zhaopin.com/CCL1503585750J40804781701.htm,20-99人,2025-11-10 17:02:12,20000.0,40000.0,12.0
产品经理,成都,马鞍山隆西科技有限公司,本科,5-10年,,20000-40000,关键岗位要求：参与过星网或者垣信两个星座的卫星宽带终端的规划，涉及XW侧有关项目推进工作工作职责1、产品/解决方案规划：负责4/5G网络通信产品的方案规划、立项，以及产品的投资组合管理；2、市场洞察：负责行业洞察，友商竞争分析，客户分析，应用场景分析；3、需求管理：负责网络产品需求分析，支撑销售市场拓展任职资格1、工作经验要求：在通信行业，4/5G基站、核心网等相关工作岗位上不低于5年工作经验，从...,计算机硬件,http://jobs.zhaopin.com/CCL1503675550J40794176111.htm,500-999人,2025-10-15 10:26:28,20000.0,40000.0,14.0
海外用户增长,成都,四川千正科技有限责任公司,本科,3-5年,"用户留存,裂变拉新,电商用户运营,海外用户运营,转化变现",20000-40000,【岗位职责】1、 深入把握海外客户需求，制定长期的用户增长策略，盘活或开拓用户增长渠道及流量洼地，提升业务整体拉新效果；2、 依据既定规划，以数据和消费者洞察为导向，对现有的获客方式和渠道进行不断优化的同时，建立和完善用户运营体系；3、 对用户的活跃和留存负责，在推进现有线上线下各用户触点上的内容迭代的同时，探索能促进用户增长的新的内容或活动形式，扩大增长效益；4、建立和发展运营通路，通过但不限于...,贸易/进出口,http://jobs.zhaopin.com/CC350080380J40141613716.htm,100-299人,2025-03-11 09:07:59,20000.0,40000.0,12.0
新媒体推广专员,成都,四川大鱼印象文化传媒有限公司,学历不限,经验不限,"直播运营,短视频运营",,主要协助我们老师做一些新媒体的日常推广工作，工作简单轻松，工资日结或周结，月均收入4000-8000,新媒体,http://jobs.zhaopin.com/CCL1515683790J40865057203.htm,20-99人,2025-12-27 10:40:33,,,
新媒体运营日结兼职,成都,深圳市远近模特经纪有限公司,学历不限,经验不限,,,1、职位信息工作平台:快手/抖音/小红书工作具体内容:编辑图片/视频工作要求:每天1-3条，时间自由，按单提成制，多劳多得2、薪资详情薪资范围:2000-10000薪资结构:提成结算方式:月结3、收费情况是否收费:否收费项目(如有):否收费标准(如有):否,广播/影视,http://jobs.zhaopin.com/CC468449720J40797063301.htm,100-299人,2025-12-25 10:59:06,,,
餐饮系统-业务运营策略（KA连锁方向-成都）,成都,北京三快在线科技有限公司,本科,1-3年,,,美团餐饮系统为餐饮企业提供一站式IT解决方案，帮助餐饮商户实现从供应链管理、生产管理、前厅管理到外卖的数字化经营。美团餐饮系统不仅打通了餐厅和平台，更帮助餐厅连接客人，让商户更了解顾客需求，在帮助商户做商业决策的同时给顾客带来更好的消费体验。我们持续建设和提升产研、销售、服务的核心能力，通过全新升级的美团餐饮系统一体化软硬件产品，助力餐饮商户进行线上化经营，帮助商户在推广新店、提升效率、降低成本、...,互联网,http://jobs.zhaopin.com/CC383625320J40826313609.htm,10000人以上,2026-01-11 18:04:44,,,
产品经理,成都,铁骑力士食品有限责任公司,本科,3-5年,,20000-35000,岗位职责：1、结合市场趋势与目标客群，挖掘消费者对肉制品的需求，确立产品开发方向，制定肉制品品类产品开发规划；2、开展肉制品市场调研与竞品分析，跟踪竞品产品策略（风味、规格等），分析行业爆款产品核心优势，为自身产品开发提供数据支撑与创新思路；3、负责肉制品产品开发落地，对接供应链筛选优质食材，确定产品工艺、规格、包装形式，制定产品标准；4、协同生产团队推进产品测试，收集反馈并优化产品，确保产品符合...,农/林/牧/渔,http://jobs.zhaopin.com/CCL1312731970J40817768411.htm,10000人以上,2026-01-09 13:54:08,20000.0,35000.0,12.0
产品经理,成都,洛基精微(成都)工业技术有限公司,本科,5-10年,"软件产品,硬件产品",20000-35000,岗位职责：1. 对设备行业进行市场调研、竞品分析和软件需求管理。2. 定义设备产品软硬件的目标、路线和具体需求规范。3. 和软件/硬件研发团队协作完成迭代和交付。4. 和测试团队协作确定测试计划、测试方案，明确Bug的优先级。5. 和工艺团队协作明确软件产品的改进和优化。6. 负责软件产品的最终验证和质量保证。7. 书写并维护软件使用说明书。任职资格：1. 5年以上智能制造或工业自动化工作经验，自...,机器人,http://jobs.zhaopin.com/CCL1479736820J40910197208.htm,20-99人,2026-01-06 13:48:08,20000.0,35000.0,12.0
餐饮系统-交易产品经理,成都,北京三快在线科技有限公司,本科,1-3年,,,美团餐饮系统为餐饮企业提供一站式IT解决方案，帮助餐饮商户实现从供应链管理、生产管理、前厅管理到外卖的数字化经营。美团餐饮系统不仅打通了餐厅和平台，更帮助餐厅连接客人，让商户更了解顾客需求，在帮助商户做商业决策的同时给顾客带来更好的消费体验。我们持续建设和提升产研、销售、服务的核心能力，通过全新升级的美团餐饮系统一体化软硬件产品，助力餐饮商户进行线上化经营，帮助商户在推广新店、提升效率、降低成本、...,互联网,http://jobs.zhaopin.com/CC383625320J40823863309.htm,10000人以上,2026-01-11 08:28:20,,,
产品专家,成都,山东恒远智能科技有限公司,本科,5-10年,"软件产品,APAAS平台,低代码平台,IOT平台,数据平台,MES系统,MOM领域,工业物联网（IIOT）,工业数据分析",25000-35000,职位描述： 我们正在寻找一位兼具业务深度与平台思维的产品专家。您将作为核心产品成员，深度协同产品线负责人，从0到1参与规划、定义并驱动落地一款面向制造业的企业级平台型产品。 您需要深刻理解制造业的复杂业务流程与痛点，并能将其抽象、转化为平台化的产品能力。您的工作将直接决定产品的业务贴合度、用户体验与市场竞争力。如果您对用平台化、数字化的方式重塑制造业运营充满热情，并享受从模糊需求到清晰上线的完整创...,IT服务,http://jobs.zhaopin.com/CC466107580J40818655111.htm,300-499人,2026-01-04 16:20:52,25000.0,35000.0,12.0
电商运营经理,成都,千禾味业,本科,1-3年,"电商运营,淘宝,京东",30000-35000,"岗位职责： 1、负责天猫系（包括天猫旗舰店、天猫超市），或京东系（包括京东超市、京东旗舰店）运维。 2、目标制定：负责板块业务的目标制定； 根据公司战略目标、年度规划，完成线上全渠道销售目标的制定、拆解。（包括销售目标、其他经营指标等） 3、业务管理：带领团队完成电商业务目标； 负责制定合理的、有效的店铺运营策略及运营方案,完成公司下达的销售任务和利润指标； 4、团队管理：根据目标进行团队配置及管...",快速消费品,http://jobs.zhaopin.com/CC339677710J40853201313.htm,1000-9999人,2026-01-04 10:48:26,30000.0,35000.0,13.0
美业运营总监,成都,锦江区苗方清颜美容店,大专,5-10年,"产品运营,门店运营,团队管理",18000-35000,岗位亮点美业品牌公司，聚焦祛痘，团队精简高效，直接对接主理人，全程主导产品运营策略，业绩成长空间大!核心职责1.统筹祛痘双品牌运营（苗方清颜+痘艺美），制定销售目标与全链路策略，推动引流-转化-复购闭环。2.管理运营团队(社群、设计、文案)，明确分工与目标，通过培训+激励提升团队专业度与执行力。3.复盘双产品运营数据(复购率、转化率等)，优化流程、管控成本，保障营收增长。4.联动内外部资源（美业K...,美发/美容/保健,http://jobs.zhaopin.com/CC524117420J40821198905.htm,100-299人,2025-10-24 00:00:02,18000.0,35000.0,12.0
