职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
质量代表副总监,南京,欣旺达动力科技股份有限公司,本科,经验不限,"前期质量工程师,新能源汽车,研发质量工程师",35000-70000,岗位描述1.负责产品零部件、工艺质量控制及验证工作，确保产品质量符合要求2.组织对新产品试制过程中出现的缺陷进行纠正和改进3.建立和完善产品开发过程中的质量管理体系，制定并实施开发过程的质量文件和记录，确保生产过程的标准化和质量体系的有效性4.组织和参与产品的技术评审，提供技术支持，并对问题进行分析处理5.审核、监督和协调各生产环节的质量保证活动6.根据客户需求反馈的信息，分析其潜在的质量问题点，...,新能源汽车,http://jobs.zhaopin.com/CCL1280979310J40837115303.htm,10000人以上,2025-11-06 13:32:27,35000.0,70000.0,13.0
芯片封装测试平台负责人,南京,智联猎头,硕士,10年以上,"封装测试,芯片封装,SiP",30000-50000,岗位职责：1. 全面负责芯片封装测试平台的工艺开发、流程优化和技术创新，引领团队攻关关键难题，提升核心竞争力；2. 主导新型封装技术（如SiP、2.5D/3D封装、倒装、WLCSP等）工艺路线设计、评估与落地，推动高端封装产品在小中试平台的转化与验证；3. 参与关键设备选型、工艺流程布局、洁净间/实验室方案审核，确保平台的先进性、稳定性与可扩展性；4. 负责建立和完善芯片封装测试质量体系，带领团队...,互联网,http://jobs.zhaopin.com/CCL1318355140J40868804703.htm,10000人以上,2026-01-09 10:50:20,30000.0,50000.0,12.0
线控底盘HIL测试工程师（软件功能测试）,南京,苏州人瑞普惠人力资源服务有限公司,本科,5-10年,"整车制造,汽车",25000-50000,1.负责线控制动测试用例编制；2.负责线控制动测试策略制定；3.负责线控制动测试计划制定；4.负责线控制动测试、问题分析及测试报告。电传动方向：1.精通CATIA等设计软件，有CAE仿真分析经验者优先；2.具备3-5年或以上变速器及驱动轴、传动轴、前后桥、四驱开发设计与性能开发经验；3.乐观开朗，有良好的沟通能力和团队协作精神，责任心强； 4. 有DHT及多合一的开发经验者优先。,互联网,http://jobs.zhaopin.com/CC427775130J40862196915.htm,20-99人,2026-01-09 01:41:29,25000.0,50000.0,13.0
质量经理（派驻印尼）,南京,南京锂源纳米科技有限公司,大专,5-10年,汽车行业质量管理体系,25000-45000,本岗位为龙蟠科技旗下锂源印尼工厂（PT LBM Energi Baru Indonesia）质量体系核心管理岗位，全面统筹工厂磷酸铁锂生产全流程质量管控工作。需严格遵循ISO 9001、IATF 16949汽车行业质量标准及ISO 12405动力电池材料标准，搭建并完善海外基地质量管控体系，保障12万吨/年磷酸铁锂产能的产品质量稳定性，支撑海外业务40.30%高毛利率优势持续巩固，助力公司全球化供...,新能源,http://jobs.zhaopin.com/CCL1443841910J40819471901.htm,1000-9999人,2026-01-08 15:12:14,25000.0,45000.0,12.0
测试与安全工程师,南京,江苏零浩网络科技有限公司,本科,经验不限,"自动化测试,安全测试",30000-45000,（1）工作职责根据无人驾驶系统的功能、逻辑和安全需求，编写测试案例；按照测试方案与测试案例执行实车或仿真测试并推动问题闭环；严格遵循无人驾驶系统的安全SOP确保测试及运营过程的安全合规；对测试过程与执行结果进行归档；与研发、产品、安全运营团队紧密合作，支持测试需求澄清、问题定位验证、策略评审等工作。（2）任职要求本科及以上学历，车辆工程、机械工程、自动化、计算机、交通工程等相关专业优先...,互联网,http://jobs.zhaopin.com/CC293273230J40824540609.htm,500-999人,2026-01-04 14:36:09,30000.0,45000.0,12.0
java/Python/C/C++/JS/AI算法/软件测试,南京,外企德科数字技术有限公司,本科,经验不限,"C,Python,Java,全程线上面试,五险一金,算法编程基础",20000-40000,1、本科及以上学历毕业生（25届毕业生），学信网可查，毕业证与学位证齐全。；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，五险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求1、计算机、软件、通信等相关专业，统招本科及以上学历；2、基础扎实，熟...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40836816605.htm,10000人以上,2026-01-11 00:27:03,20000.0,40000.0,14.0
质量经理（常驻印尼）,南京,南京锂源纳米科技有限公司,本科,5-10年,16949体系,35000-45000,1.质量体系建设与认证：● 建立并维护公司质量管理体系（ISO 9001/IATF 16949等），主导内审、管理评审及外审应对，确保体系认证通过率100%。2.产品质量全流程监控：● 制定原材料/制程/成品检验标准，监控关键质量指标（如PPM/直通率），推动CAPA（纠正预防措施）闭环，实现产品合格率达标。3.客户质量风险管理：● 分析客户投诉及退货数据，主导跨部门RCA（根本原因分析），达成客...,新能源,http://jobs.zhaopin.com/CCL1443841910J40785025201.htm,1000-9999人,2025-09-10 11:07:39,35000.0,45000.0,12.0
测试及安全运营主管,南京,江苏零浩网络科技有限公司,本科,经验不限,,30000-45000,（1）工作职责负责定义无人驾驶车辆在实际运营中遇到的异常情形、紧急状况的SOP，形成体系化的安全运营规范并持续迭代。牵头设计无人驾驶车辆的实车测试方案，构建覆盖典型场景、极端工况和异常处理的测试案例体系。组建并管理安全运营团队，训练成员理解并执行安全运营流程。协助搭建、优化运营数据平台和车端系统。与技术研发、产品、测试、运营团队协作，推动无人驾驶系统在安全性、稳定性和运营效率方面的持续优...,互联网,http://jobs.zhaopin.com/CC293273230J40824529909.htm,500-999人,2026-01-04 14:19:57,30000.0,45000.0,12.0
资深EMS测试工程师(硬件+嵌入式),南京,时代绿色能源有限公司,本科,5-10年,"电池测试,功能测试,示波器",20000-40000,岗位职责：1. 负责EMS（能量管理系统）产品的功能、性能、可靠性测试，编写测试用例与测试报告；2. 搭建EMS软件/硬件测试环境，支持整机（硬件）测试；3. 识别并分析EMS系统在光储充换电站中的异常，协助研发进行问题定位与整改；4. 支持EMS相关设备的调试、验收及现场测试；5. 建立并优化EMS测试流程、测试规范与自动化测试框架；6. 参与BMS、PCS等相关系统的联合测试与集成验证。任职要...,新能源,http://jobs.zhaopin.com/CCL1374298830J40799565810.htm,300-499人,2025-12-22 15:31:17,20000.0,40000.0,15.0
igbt测试负责人,南京,南京宁远人力资源有限公司,硕士,10年以上,"自动化测试,功能测试,性能测试",20000-40000,硕士以上学历，10年以上经验：1.负责测试战略与体系构建，制定与公司产品路线图相匹配的测试技术发展战略，主导建立和完善测试标准、规范与流程，构建覆盖产品全生命周期的测试与可靠性验证体系。2.负责测试平台开发与能力建设，开展高端测试实验室建设和演进，负责关键测试设备的选型、开发与校准；主导开发先进的自动化测试系统，提升测试效率与数据价值；攻克高压、大电流、高频、高温等极限条件下的测试技术难题。3.负...,互联网,http://jobs.zhaopin.com/CC268631010J40817607207.htm,20-99人,2025-12-17 13:51:53,20000.0,40000.0,14.0
设计前期质量！！！(双休！深圳南京惠州）,南京,欣旺达动力科技股份有限公司,本科,1-3年,"PPAP,QC七大手法,FTA",20000-40000,"""岗位职责：1、完成项目前期品质文件的提交及相关文件的制定；2、负责处理SOP+3个月前客户抱怨；3、过程审核；4、标准制定；5、质量改善；6、项目开发过程风险识别。任职要求：1、8D、FMEA、APQP、MSA、SPC、PPAP、VDA6.3；2、新旧QC七大手法、5WHY、FTA、DOE；3、熟悉IATF16949体系及相关质量文件的编写；4、具备精益与六西格玛相关知识，绿带及以上为佳；5、具...",新能源汽车,http://jobs.zhaopin.com/CCL1280979310J40634775203.htm,10000人以上,2025-11-25 10:03:47,20000.0,40000.0,12.0
ic测试开发工程师,南京,深圳市中兴微电子技术有限公司,本科,3-5年,"自动化测试,SERDES",20000-40000,"岗位职责：(a) 负责现有自动化测试软件的开发及维护。(b) 负责芯片自动化测试用例开发。(c) 负责PC软件与芯片通信之间的接口开发，协议包括MDIO,I2C,SPI,JTAG等。(d) 负责固件开发。任职要求：(a) 本科学历7年以上工作经验，或硕士学历5年工作经验。(b) 计算机相关专业，有编程经验。熟练掌握Python语言，熟悉C/C++语言。(c) 了解芯片开发流程者优先考虑。(d) 有...",电子/半导体/集成电路,http://jobs.zhaopin.com/CC332136610J40866538208.htm,1000-9999人,2025-09-09 11:18:40,20000.0,40000.0,12.0
人保财险-总公司-信息技术类-测试/质量保障岗（南京）-科技专项招聘(J67856),南京,中国人民财产保险股份有限公司,硕士,经验不限,"UI自动化测试,性能测试",,岗位职责: 1.制定测试计划、测试策略、测试方案，编写测试用例、自动化测试脚本，执行测试案例、完成内部测试并编制测试报告； 2.完成项目后续运维和技术支持工作； 3.制定质量保证计划，开展项目过程及工作产品评审和审计，度量、分析项目相关数据； 4.建立并完善项目相关测试流程、制度、模板。 任职要求: 1.硕士研究生； 2.计计算机、软件工程、通讯工程、自动化、大数据、金融科技、移动互联、数学、统计...,保险,http://jobs.zhaopin.com/CC120384240J40574570316.htm,10000人以上,2025-07-17 00:21:21,,,
Java/C/C++软件开发/测试工程师（双休+五险一金+年终奖）,南京,外企德科数字技术有限公司,本科,经验不限,"C语言,Java,Python,图形图像处理,嵌入式开发,音视频开发,图像识别,3D图形处理,人脸识别,Redis,MySQL,PyTorch,软件测试",19000-35000,全国均有岗位（开发、测试、算法、数据分析等）岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；二、软件测试工程师：1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底；2....,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40805266505.htm,10000人以上,2026-01-11 00:25:05,19000.0,35000.0,16.0
品质经理,南京,南京商络电子股份有限公司,本科,5-10年,,20000-35000,工作职责1. 建立、完善并持续优化品质管理部门规章制度、培训机制及日常管理机制；2. 建立并优化仓库物料品质管理机制，异常问题进行分类整理并进行内部改善；3. 敦促责任部门要求及时处理异常物料，避免物料报废；4. 通过审核客户质量协议、优化仓库管理机制等，对客户、原厂在交易全过程中的质量风险进行管控，及时预警；5. 确保客户投诉及时回应处理，推进客户反馈异常分类整理并进行内部改善；6. 确保团队按...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC134000210J40786361816.htm,1000-9999人,2026-01-08 17:43:55,20000.0,35000.0,12.0
质量部长,南京,亚新科工业技术(南京)有限公司,本科,5-10年,,25000-35000,岗位职责：1.制定、部署并监控集团中长期质量战略、方针与年度质量目标；2.建立并维护集团统一的质量管理体系框架与标准，确保各运营单元（下属工厂/事业部）的体系符合IATF 16949及集团要求；3.主导集团层面的管理评审，并向管理层报告整体质量绩效与风险；4.规划并执行对下属工厂/事业部的体系审计、过程审核及专项质量巡查；5.建立集团质量绩效（KPI）监控与对标体系，分析数据趋势，驱动各单元持续改...,汽车零部件,http://jobs.zhaopin.com/CCL1467813690J40837126105.htm,1000-9999人,2026-01-06 17:28:45,25000.0,35000.0,12.0
软件研发工程师（前后端测试均有岗位）,南京,外企德科数字技术有限公司,本科,经验不限,"JavaScript,Python,C++",18000-35000,【C/C++/JAVA/Python/SQL/web/Android/IOS/Flutter/GO/大数据/AI/开发/运维/测试均有岗位需求】PS：北京，上海，南京，杭州，深圳，东莞，成都，西安，武汉，长沙均有需求开放【岗位要求】1、统招本科及以上学历；2、掌握C++/Java/Go/Web（Vue、React、js前端开发、前端框架...）/python/H5一种或多种编程语言，有良好的编程习...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40765515005.htm,10000人以上,2026-01-11 00:24:29,18000.0,35000.0,12.0
可靠寿命测试副总监,南京,上海必胜人力资源有限公司,本科,10年以上,"设备,可靠寿命,硬件测试",25000-35000,可靠寿命测试副总监工作职责：1、构建研发测试体系，建立和完善测试流程、规范及质量标准，满足海内外业务和产品质量要求，提升质量和效率；2、在产品生命周期关键节点推动风险评估，根据产品的特性制定测试策略，跟踪故障解决，确保项目交付；3、与跨部门团队紧密协作，严格把控质量不达标项，保障产品可靠性，提升产品寿命，提高客户满意度。任职要求：1、本科及以上学历，5年以上测试经验，3年以上团队管理经验；2、医疗...,咨询服务,http://jobs.zhaopin.com/CC136154160J40822176810.htm,300-499人,2026-01-01 01:27:16,25000.0,35000.0,15.0
质量经理/总监,南京,海德氢能源科技(江苏)有限公司,本科,10年以上,"QC,QA",20000-35000,工作职责：1、负责公司客户端交付质量管控，对接客诉问题处理；2、策划公司质量活动，确保公司产品质量稳定可靠；3、准备并参与客户及供应商审核；3、重大客户投诉处理，客户投诉8D的最终确认与审核；4、 内部质量工具，质量标准的指导与培训；5、 定期组织质量问题分析会，并跟踪质量问题持续改善；6、 变更(设计、制程、包装等)的评审与签核，组织质量偏差申请的评审与最终签核；7、规划并主导定期质量改善活动，...,新能源,http://jobs.zhaopin.com/CCL1380144780J40784161416.htm,100-299人,2025-12-29 10:25:27,20000.0,35000.0,13.0
