职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
小红书运营,重庆,常州缪幻商贸有限公司,学历不限,经验不限,"图文平台,小红书,内容运营,电商运营",,1.小红书店铺运营，笔记输出，日常工作编辑，发布。2.小红书笔记产品，产品上架。3.能认真对待。,电子商务,http://jobs.zhaopin.com/CCL1511490180J40891966902.htm,100-299人,2025-12-29 17:57:20,,,
新媒体运营策划专家,重庆,重庆商社新世纪百货连锁经营有限公司,本科,3-5年,"企业官网,短视频平台,新闻类,内容运营,品牌运营",15000-25000,1、策略体系搭建：基于零售企业定位制定新媒体整体策略，明确各平台分工，制定年度 / 季度运营目标。2、内容与品牌协同：牵头搭建零售 “内容矩阵”，统一品牌调性，输出差异化内容。3、直播与短视频操盘：主导零售直播策划，统筹直播团队，优化直播 “观看人数→下单转化率”。4、团队与资源管理：搭建新媒体团队，制定岗位职责与考核标准；拓展外部资源，洽谈合作方案。5、数据驱动优化：分析各平台 “流量成本”、“...,零售/批发,http://jobs.zhaopin.com/CC456390710J40671196906.htm,1000-9999人,2025-09-16 14:23:45,15000.0,25000.0,12.0
海外社媒运营,重庆,华融联大(重庆)科技有限公司,本科,1-3年,"独立站运营,内容运营,短视频运营,Instagram,海外平台,Facebook,WhatsApp",10000-20000,"【岗位职责】1. 全平台运营与内容创作：-负责客户/公司海外核心社媒矩阵（独立站、谷歌、TikTok, Facebook, Instagram, YouTube 等）的日常运营与管理。-独立策划、创作并发布高质量、高吸引力的英文内容（图文、短视频等），提升品牌声量与用户粘性。-积极维护社群，专业、及时地与粉丝互动（评论、私信）。2.与第三方独立站运营对接推广，并完成独立站文章更新。3. 策略执行与...",新能源汽车,http://jobs.zhaopin.com/CCL1488523010J40764903311.htm,20-99人,2026-01-09 15:45:15,10000.0,20000.0,13.0
新媒体运营,重庆,重庆滔铖企业管理咨询有限公司,本科,5-10年,,11000-20000,岗位职麦:1、负责公司品牌在视频号、抖音、小红书等平台的全面运营，制定年度/季度/月度新媒体运营策略与执行计划。2、结合公司已搭建运营的社群体系，制定用户分层运营策略3、组织策划线上互动活动，提升用户活跃度与归属感;增强用户粘性，促进私域转化1、本科及以上学历，市场营销、传播、新媒体、电子商务等相关专业优先。2、5 年以上新媒体运营经验，有独立操盘百万级粉丝账号或成功增长项目者优先。3、熟悉新媒体...,企业服务,http://jobs.zhaopin.com/CCL1271902050J40835380514.htm,20人以下,2026-01-06 16:55:49,11000.0,20000.0,12.0
热点运营专员,重庆,软通动力信息技术(集团)股份有限公司,本科,3-5年,"热点运营,新闻热点",10000-20000,岗位职责1、负责浏览器push、热词等日常运营工作； 2、对全网热点新闻资讯进行审核及push文案写作； 3、对国内外新闻资讯进行及时监控和精准判断； 4、利用运营数据指导运营工作，推动数据指标提升、产品优化、工作效率改善等。 职位要求 1、本科及以上学历（优先），新闻、中文及相关专业； 2、有资讯类APP使用习惯，熟悉并关心时政、国际、军事、社会等领域重大要闻； 3、1年以上工作经验，有新媒体内...,互联网,http://jobs.zhaopin.com/CC000544460J40785691616.htm,10000人以上,2026-01-06 16:06:25,10000.0,20000.0,12.0
新媒体策划经理/车企,重庆,重庆外企德科人力资源服务有限公司,本科,5-10年,"汽车类,策划",12000-20000,岗位职责：1、内容生态建设与账号运营统筹用户内容生态规划，制定车主故事、产品种草、品牌认知等内容策略，输出标准化内容规划方案和内容模板；负责账号内容规划，制定抖音、小红书、视频号、B站等平台账号定位与差异化运营方案，搭建多平台内容矩阵；策划热点话题及长线IP活动，提升用户参与度与账号粉丝增长。2、活动运营与效果追踪设计线上线下联动的用户活动（UGC征集、试驾挑战赛），推动内容生产与传播，分析活动数...,人力资源服务,http://jobs.zhaopin.com/CC507822720J40834722314.htm,1000-9999人,2026-01-04 17:15:19,12000.0,20000.0,12.0
全媒体运营专员,重庆,重庆前壹进会计师事务所(普通合伙),本科,经验不限,"短视频平台,图文平台,微信公众号,今日头条,小红书,抖音,快手,微信视频号,新闻类,教育类,内容运营,短视频运营,活动运营",10000-20000,岗位内容：1. 负责公司所有新媒体账号的管理和更新，包括但不限于微信公众号、微博等；2. 根据公司整体营销方向，制定并执行线上营销策略，提升品牌知名度和销售转化率；3. 维护客户关系，并负责新媒体平台的数据分析和报告撰写；4. 不断跟进行业和社交媒体趋势，为新媒体运营提供第一手资讯和创意点子。任职要求：1. 本科及以上学历，市场营销、新闻传媒或相关专业优先考虑；2. 熟悉运用各种社交媒体平台及相关...,咨询服务,http://jobs.zhaopin.com/CCL1504034910J40864347402.htm,20-99人,2025-12-04 11:39:14,10000.0,20000.0,13.0
全媒体运营负责人（董事长IP孵化方向）,重庆,重庆艾艺荷马教育科技股份有限公司,大专,3-5年,"短视频平台,抖音,小红书,IP打造",10000-20000,一、岗位职责 1. IP全案策划与执行- 定位董事长人设，设计差异化内容方向（如行业洞察、创业故事、职场干货等），制定月度内容矩阵及发布计划。 - 独立完成全流程内容生产：文案脚本→拍摄指导→剪辑（PR/剪映）→视觉设计（PS/Canva）→直播策划。 2. 精准流量运营与增长 - 设计涨粉策略：投流（Dou+/信息流广告）、热点借势、跨平台互推、KOL联动，要求ROI≤行业均值1.2倍。 - 建...,培训/辅导服务,http://jobs.zhaopin.com/CC362045220J40791188713.htm,500-999人,2025-06-27 13:17:21,10000.0,20000.0,12.0
文案策划师/策划经理,重庆,四川邦泰投资集团有限责任公司,本科,3-5年,"广告类,地产改善推广,统招本科",12000-18000,岗位职责：1、负责项目推广的文案创作、策略输出，持续在市场发声;2、负责项目日常出街物料、公众号推文等文策创作;3、根据公司品牌及项目要求，进行文策推广。任职要求：1、统招本科及以上学历；2、具备地产广告公司文策经验，从事过改善类项目推广工作；3、文笔好，品控要求高。,房地产开发,http://jobs.zhaopin.com/CCL1457845810J40836916305.htm,1000-9999人,2026-01-06 09:20:10,12000.0,18000.0,16.0
互联网运营-新闻热点push,重庆,软通动力信息技术(集团)股份有限公司,本科,1-3年,"今日头条,知乎,快手,新闻编辑,采编,PUSH",12000-18000,外包大厂 新闻热点push运营岗（多岗位招聘） 岗位一：重庆南岸区-侧重时政新闻热点，新闻编辑经验 具备新闻热点经验，深度新闻运营经验 1、负责浏览器push、热词等日常运营工作； 2、对全网热点新闻资讯进行审核及push文案写作； 3、对国内外新闻资讯进行及时监控和精准判断； 4、利用运营数据指导运营工作，推动数据指标提升、产品优化、工作效率改善等。 1、本科及以上学历，新闻、中文及相关专业； ...,互联网,http://jobs.zhaopin.com/CC000544460J40773808016.htm,10000人以上,2025-11-26 14:13:28,12000.0,18000.0,12.0
